ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Endothelial,Unknown,0.0889,1.8285,0.1625
SPP1,CD44,Unknown,Dendritic cell,0.1038,1.5537,0.1613
SPP1,CD44,Mast cell,Dendritic cell,0.1024,1.5537,0.1591
TGFB1,TGFBR2,Fibroblast,Myeloid/Macro,0.6014,0.2636,0.1585
SPP1,CD44,Endothelial,T cell,0.0889,1.7707,0.1574
SPP1,CD44,Plasma cell,Endothelial,0.2266,0.6842,0.1551
CCL5,CCR5,T cell,Myeloid/Macro,1.9899,0.0774,0.154
TGFB1,TGFBR2,Tumor epithelial,Myeloid/Macro,0.5803,0.2636,0.1529
TGFB1,TGFBR2,Dendritic cell,Plasma cell,0.7559,0.2018,0.1526
SPP1,CD44,Endothelial,NK cell,0.0889,1.7125,0.1522
SPP1,CD44,Unknown,B cell,0.1038,1.4617,0.1518
TNF,TNFRSF1A,Fibroblast,Tumor epithelial,0.2258,0.6641,0.1499
SPP1,CD44,Mast cell,B cell,0.1024,1.4617,0.1497
TNF,TNFRSF1A,B cell,Endothelial,0.3868,0.3849,0.1489
TNF,TNFRSF1A,Unknown,Fibroblast,0.2774,0.5293,0.1468
CCL5,CCR5,T cell,NK cell,1.9899,0.0736,0.1465
CD80,CTLA4,Dendritic cell,NK cell,0.5681,0.2492,0.1416
VEGFA,FLT1,Endothelial,Endothelial,0.1592,0.8809,0.1402
TNF,TNFRSF1A,NK cell,Endothelial,0.3621,0.3849,0.1394
SPP1,CD44,Tumor epithelial,Myeloid/Macro,0.0759,1.8373,0.1394
SPP1,CD44,NK cell,Myeloid/Macro,0.0755,1.8373,0.1388
SPP1,CD44,Tumor epithelial,Unknown,0.0759,1.8285,0.1387
SPP1,CD44,NK cell,Unknown,0.0755,1.8285,0.1381
SPP1,CD44,Endothelial,Dendritic cell,0.0889,1.5537,0.1381
SPP1,CD44,Plasma cell,Tumor epithelial,0.2266,0.6047,0.1371
TGFB1,TGFBR2,T cell,Tumor epithelial,1.4902,0.0916,0.1365
CXCL12,CXCR4,Fibroblast,Mast cell,0.3063,0.4447,0.1362
SPP1,CD44,Tumor epithelial,T cell,0.0759,1.7707,0.1344
SPP1,CD44,NK cell,T cell,0.0755,1.7707,0.1337
TNF,TNFRSF1A,Fibroblast,Myeloid/Macro,0.2258,0.5912,0.1335
TGFB1,TGFBR2,Fibroblast,Mast cell,0.6014,0.2204,0.1325
TGFB1,TGFBR2,Unknown,Tumor epithelial,1.4415,0.0916,0.1321
VEGFA,KDR,Myeloid/Macro,Endothelial,0.7644,0.1706,0.1304
TNF,TNFRSF1A,T cell,Endothelial,0.3383,0.3849,0.1302
SPP1,CD44,Tumor epithelial,NK cell,0.0759,1.7125,0.1299
SPP1,CD44,Endothelial,B cell,0.0889,1.4617,0.1299
SPP1,CD44,Unknown,Fibroblast,0.1038,1.2495,0.1297
SPP1,CD44,NK cell,NK cell,0.0755,1.7125,0.1293
FAS,FASLG,Unknown,NK cell,0.4983,0.2589,0.129
SPP1,CD44,Mast cell,Fibroblast,0.1024,1.2495,0.128
TGFB1,TGFBR2,Tumor epithelial,Mast cell,0.5803,0.2204,0.1279
CXCL12,CXCR4,Endothelial,T cell,0.0569,2.2238,0.1266
CD274,PDCD1,Mast cell,T cell,0.2372,0.5314,0.126
VEGFA,FLT1,Myeloid/Macro,Myeloid/Macro,0.7644,0.1648,0.126
CCL5,CCR5,Endothelial,Dendritic cell,1.0562,0.1186,0.1252
CXCL12,CXCR4,Endothelial,B cell,0.0569,2.1868,0.1245
SPP1,CD44,T cell,Mast cell,0.0488,2.5404,0.1241
TGFB1,TGFBR2,Fibroblast,Plasma cell,0.6014,0.2018,0.1214
TNF,TNFRSF1A,Fibroblast,Fibroblast,0.2258,0.5293,0.1195
CXCL12,CXCR4,Endothelial,NK cell,0.0569,2.0931,0.1191
SPP1,CD44,Tumor epithelial,Dendritic cell,0.0759,1.5537,0.1179
SPP1,CD44,NK cell,Dendritic cell,0.0755,1.5537,0.1173
TGFB1,TGFBR2,Tumor epithelial,Plasma cell,0.5803,0.2018,0.1171
SPP1,CD44,Unknown,Plasma cell,0.1038,1.1263,0.1169
SPP1,CD44,Mast cell,Plasma cell,0.1024,1.1263,0.1153
FAS,FASLG,T cell,NK cell,0.4448,0.2589,0.1152
SPP1,CD44,Fibroblast,Endothelial,0.1672,0.6842,0.1144
SPP1,CD44,Endothelial,Fibroblast,0.0889,1.2495,0.111
SPP1,CD44,Tumor epithelial,B cell,0.0759,1.4617,0.1109
SPP1,CD44,NK cell,B cell,0.0755,1.4617,0.1104
TNF,TNFRSF1A,Unknown,Endothelial,0.2774,0.3849,0.1068
CXCL12,CXCR4,Endothelial,Unknown,0.0569,1.8662,0.1062
TGFB1,TGFBR2,Myeloid/Macro,Tumor epithelial,1.1397,0.0916,0.1044
SPP1,CD44,Dendritic cell,Endothelial,0.1526,0.6842,0.1044
VEGFA,KDR,Fibroblast,Endothelial,0.6013,0.1706,0.1026
SPP1,CD44,Fibroblast,Tumor epithelial,0.1672,0.6047,0.1011
TNF,TNFRSF1A,Myeloid/Macro,Tumor epithelial,0.1517,0.6641,0.1008
CD80,CTLA4,B cell,T cell,0.1868,0.5394,0.1007
SPP1,CD44,Endothelial,Plasma cell,0.0889,1.1263,0.1001
TGFB1,TGFBR2,Endothelial,Tumor epithelial,1.0881,0.0916,0.0997
VEGFA,FLT1,Fibroblast,Myeloid/Macro,0.6013,0.1648,0.0991
CCL5,CCR5,Unknown,Dendritic cell,0.8071,0.1186,0.0957
SPP1,CD44,Tumor epithelial,Fibroblast,0.0759,1.2495,0.0948
CCL5,CCR5,Endothelial,T cell,1.0562,0.0895,0.0945
SPP1,CD44,NK cell,Fibroblast,0.0755,1.2495,0.0944
FAS,FASLG,Dendritic cell,NK cell,0.3602,0.2589,0.0933
TGFB1,TGFBR2,Mast cell,Tumor epithelial,1.0125,0.0916,0.0928
SPP1,CD44,Dendritic cell,Tumor epithelial,0.1526,0.6047,0.0923
IL6,IL6R,Endothelial,Mast cell,0.2273,0.4018,0.0914
CD80,CTLA4,Dendritic cell,Endothelial,0.5681,0.1583,0.0899
TNF,TNFRSF1A,Myeloid/Macro,Myeloid/Macro,0.1517,0.5912,0.0897
SPP1,CD44,T cell,Myeloid/Macro,0.0488,1.8373,0.0897
SPP1,CD44,T cell,Unknown,0.0488,1.8285,0.0893
PDGFA,PDGFRA,Fibroblast,Fibroblast,0.3521,0.253,0.0891
VEGFA,FLT1,Mast cell,Dendritic cell,1.1046,0.0795,0.0879
TNF,TNFRSF1A,Fibroblast,Endothelial,0.2258,0.3849,0.0869
SPP1,CD44,T cell,T cell,0.0488,1.7707,0.0865
TGFB1,TGFBR2,B cell,Tumor epithelial,0.9361,0.0916,0.0858
SPP1,CD44,Tumor epithelial,Plasma cell,0.0759,1.1263,0.0855
SPP1,CD44,NK cell,Plasma cell,0.0755,1.1263,0.0851
CXCL12,CXCR4,Endothelial,Dendritic cell,0.0569,1.493,0.085
SPP1,CD44,T cell,NK cell,0.0488,1.7125,0.0836
VEGFA,FLT1,Dendritic cell,Endothelial,0.0948,0.8809,0.0835
TGFB1,TGFBR2,Plasma cell,Tumor epithelial,0.8928,0.0916,0.0818
CCL5,CCR5,Endothelial,Myeloid/Macro,1.0562,0.0774,0.0817
TNF,TNFRSF1A,Myeloid/Macro,Fibroblast,0.1517,0.5293,0.0803
CXCL10,CXCR3,Endothelial,NK cell,0.2335,0.3434,0.0802
CD274,PDCD1,Mast cell,NK cell,0.2372,0.3319,0.0787
TNF,TNFRSF1A,Mast cell,Tumor epithelial,0.118,0.6641,0.0783
CCL5,CCR5,Endothelial,NK cell,1.0562,0.0736,0.0778
IL6,IL6R,Fibroblast,Plasma cell,0.4471,0.174,0.0778
CD80,CTLA4,Dendritic cell,Plasma cell,0.5681,0.1364,0.0775
VEGFA,KDR,Tumor epithelial,Endothelial,0.4498,0.1706,0.0767
SPP1,CD44,T cell,Dendritic cell,0.0488,1.5537,0.0759
VEGFA,FLT1,Tumor epithelial,Myeloid/Macro,0.4498,0.1648,0.0741
CXCL10,CXCR3,Endothelial,T cell,0.2335,0.3149,0.0735
FAS,FASLG,NK cell,NK cell,0.281,0.2589,0.0728
FAS,FASLG,Endothelial,NK cell,0.28,0.2589,0.0725
CCL5,CCR5,Unknown,T cell,0.8071,0.0895,0.0722
CXCL12,CXCR4,Endothelial,Myeloid/Macro,0.0569,1.2666,0.0721
SPP1,CD44,T cell,B cell,0.0488,1.4617,0.0714
SPP1,CD44,Unknown,Endothelial,0.1038,0.6842,0.071
SPP1,CD44,Mast cell,Endothelial,0.1024,0.6842,0.0701
CCL5,CCR5,Plasma cell,Dendritic cell,0.5908,0.1186,0.07
TNF,TNFRSF1A,Mast cell,Myeloid/Macro,0.118,0.5912,0.0698
CD80,CTLA4,Myeloid/Macro,T cell,0.1289,0.5394,0.0695
TGFB1,TGFBR2,Dendritic cell,Tumor epithelial,0.7559,0.0916,0.0693
TNF,TNFRSF1A,Plasma cell,Tumor epithelial,0.1006,0.6641,0.0668
FAS,FASLG,B cell,NK cell,0.2575,0.2589,0.0667
CD274,PDCD1,Mast cell,Unknown,0.2372,0.2728,0.0647
CXCL12,CXCR4,Endothelial,Plasma cell,0.0569,1.1087,0.0631
SPP1,CD44,Unknown,Tumor epithelial,0.1038,0.6047,0.0628
SPP1,CD44,B cell,Mast cell,0.0246,2.5404,0.0626
HGF,MET,Fibroblast,Tumor epithelial,0.2072,0.3018,0.0625
CCL5,CCR5,Unknown,Myeloid/Macro,0.8071,0.0774,0.0625
TNF,TNFRSF1A,Mast cell,Fibroblast,0.118,0.5293,0.0624
SPP1,CD44,Mast cell,Tumor epithelial,0.1024,0.6047,0.0619
CD274,PDCD1,Endothelial,T cell,0.1159,0.5314,0.0616
SPP1,CD44,T cell,Fibroblast,0.0488,1.2495,0.061
