leiden,TP53,MYC,STAT1,NFKB1,HIF1A,SOX2,FOXP3,TBX21,GATA3,TWIST1,SNAI1,NKX2-1
0,-0.05173423223581044,0.5815515300216745,0.6150872117708561,-0.04536924396377549,0.1740271294174563,-0.06190291266222507,0.007935453697103233,0.07427148912263953,-0.010231907222006056,0.33536461906387033,0.31036223142734476,-0.0332462920586844
1,0.046332983587677054,0.3633977812466306,0.5602397426198289,0.08408927597168996,0.003350919955145053,-0.048390880510574434,0.06558832646143145,0.022400529297386725,0.007307008379843177,0.20840834776075876,0.18672323402253593,-0.03521628739448582
2,-0.05348626205888574,0.40766031796651575,0.4103312022431963,0.3764640283987189,0.14078337882218186,0.17091430089605525,-0.06562297388507982,-0.1890391775483739,-0.0001666191163236155,0.6003557711025276,0.7359496048212838,-0.029065652283111417
3,-0.018854998421965176,0.4566004504624361,0.35877071924972087,0.238960477796544,0.267262810792612,0.15890555983814209,-0.12007343151582325,-0.3157663223924844,-0.009186139045202213,0.5634459119931511,0.5729008984306584,-0.03775660897726598
4,0.10914422161391955,0.4253786979791485,0.4641862318742114,0.10357875042918484,-0.16350428005596537,-0.019030771094399532,-0.09434799402254122,-0.27944962213705254,0.02197480038050059,0.09255420369500512,0.0714741687173242,-0.04121142170450709
5,-0.07589057792101038,0.7594592617843557,-0.11546731663380727,-0.05625409832028067,0.674861414958072,0.026860354525427666,-0.07764142455516324,-0.3901687319586354,-0.015525209205381332,-0.20565788959380119,-0.2352328863628449,-0.059392675849699206
6,0.08823696428584674,0.5870145673308739,0.4605733908603277,-0.038639134049601766,0.08584520934632531,-0.03323069768233432,0.23350643761290446,-0.12562139577335782,0.03192325459420681,0.29392604984177484,0.27276667565438484,-0.030897385637379354
7,0.011199121105427642,0.009762843449910479,0.8750457342405965,1.466138100391548,0.22506677025840396,0.020648382391248433,-0.07193694305419922,0.18032229968479702,-0.020975832871028357,0.0007531247820173019,-0.005442828042166568,0.03837944269180298
8,-0.043252534978049144,0.17558895209857395,0.39893130271628713,0.07703995992620306,-0.040418375587463376,-0.0671999062180519,-0.04463409707069396,0.1909674518108368,0.006377007007598876,0.13898321164131164,0.11234991121292115,-0.03458116256594658
9,0.18826724388553642,0.22808640445134448,0.44447833330142206,0.15023804126808785,-0.018368308983038907,-0.050722964087973776,-0.043131510905365454,-0.177896873239261,-0.02730346192352807,0.22235592547459387,0.21101026600510325,-0.038496096258732806
10,0.08611875880175622,0.46098048761756155,0.5388580339449123,0.6840854084565193,0.0641227147634002,0.06273667935667367,-0.035222403415318196,-0.3671973049229589,-0.020721338457074658,0.8659416653863315,0.7411369505915149,-0.06339406917835104
11,-0.09057102242164079,0.1877015817511511,0.2822345285980557,0.4246645217830911,6.935590650976862e-05,0.002244650736087706,-0.012696458758377447,-0.29791192787449533,0.02493216431431654,0.5489029084182366,0.5306364138068222,-0.04972857700615394
12,0.11296567154510406,0.45596706732911296,0.18217107647651126,0.42577170390588936,0.28145919098076244,0.0037749775863708335,-0.16095587976435397,-0.4080470254066143,-0.010281945152485625,-0.0073499513230425246,-0.020940985816590336,1.6524571545326963
13,0.000720228025494272,0.4250656550040086,0.4192210961205223,0.0040968853839828245,-0.15795617938744988,-0.0639598692017319,-0.11400943495425502,-0.3517847142652073,0.014563975404849093,0.15253619607570953,0.1428822113686958,-0.04164540261293935
