group,names,scores,logfoldchanges,pvals,pvals_adj
Clone_2,CD14,27.786661,7.2952976,6.287569644840182e-170,4.76836273099897e-167
Clone_2,TIMP2,27.76468,5.1318636,1.1586536043731083e-169,8.494089573659256e-167
Clone_2,SOD2,27.573355,3.5327497,2.3228419889364116e-167,1.6479439955702743e-164
Clone_2,MS4A7,27.39153,5.9746428,3.459890145491546e-165,2.3779176240561115e-162
Clone_2,ITGAX,27.322237,5.0286913,2.3089523224766186e-164,1.5388117705523718e-161
Clone_2,CSTB,27.317713,3.5795681,2.613143005804056e-164,1.6903192390190765e-161
Clone_2,LST1,27.300938,4.97036,4.134299845996101e-164,2.597875900371207e-161
Clone_2,RNF130,27.29551,4.017521,4.795662460893315e-164,2.929750125067408e-161
Clone_2,GABARAP,27.229082,2.468061,2.940286983966362e-163,1.7477224767127623e-160
Clone_2,MS4A6A,27.156773,6.931844,2.1061095093195669e-162,1.218938590485927e-159
Clone_2,HLA-DPA1,27.079113,3.6558154,1.7352160839709573e-161,9.785283931993145e-159
Clone_2,C5AR1,26.877306,6.580131,4.0463030282009936e-159,2.2247585624806113e-156
Clone_2,C1orf162,26.834404,4.7626433,1.2827283449459717e-158,6.880742558633355e-156
Clone_2,CEBPB,26.825808,3.6598046,1.6159580637853658e-158,8.461848975436084e-156
Clone_2,GRINA,26.723755,3.3641536,2.493269926872995e-157,1.2752205930632043e-154
Clone_2,CXCL16,26.561684,4.3016486,1.8823230582205306e-155,9.408620686237301e-153
Clone_2,HLA-DRB5,26.560703,3.4550664,1.9320441295924802e-155,9.442543676028314e-153
Clone_2,S100A11,26.547169,3.298408,2.7689638250973193e-155,1.3238656827253335e-152
Clone_2,GLUL,26.494465,3.6792843,1.1225790275215002e-154,5.25295330899582e-152
Clone_2,TYMP,26.482174,3.283797,1.555249238483461e-154,7.125957604576408e-152
Clone_2,RAB31,26.389545,3.8588061,1.806247911706359e-153,8.107104147379174e-151
Clone_2,FNIP2,26.363382,4.789595,3.605081561143367e-153,1.5857311754845215e-150
Clone_3,METRNL,27.422134,3.1165745,1.4938669831828872e-165,3.2854616561141243e-161
Clone_3,HLA-B,17.466835,1.1124994,2.5632778641570403e-68,2.8187085033202897e-64
Clone_3,CCL5,16.688745,2.9692082,1.5825922653437199e-62,1.1601983897234811e-58
Clone_3,CD7,16.075129,2.3024278,3.81203814360727e-58,2.0959538723088675e-54
Clone_3,FYN,15.681189,1.8754938,2.0341123521179363e-55,8.947246592025954e-52
Clone_3,SARAF,15.3633995,1.2458395,2.8806613808765475e-53,1.0559064291602986e-49
Clone_3,CST7,15.087118,2.3500109,1.968544973409617e-51,6.18488708574253e-48
Clone_3,HLA-A,14.963443,1.0568361,1.2726843915960273e-50,3.4987684780464287e-47
Clone_3,CTSW,14.87434,2.584015,4.837281925163803e-50,1.1820704597791946e-46
Clone_3,ZFP36L2,14.703989,1.5430652,6.077154298685604e-49,1.3365485449099248e-45
Clone_3,HLA-C,14.678968,0.9529415,8.79175798847723e-49,1.757792122187088e-45
Clone_3,SYTL3,14.545605,1.7646363,6.22783540361306e-48,1.1414065335971835e-44
Clone_3,GNG2,14.446983,1.6767123,2.619072635530649e-47,4.430866497940428e-44
Clone_3,RUNX3,14.264292,1.8586432,3.65280551057722e-46,5.7382965424374855e-43
Clone_3,TGFB1,14.18583,1.3644171,1.1213047371145342e-45,1.64405700555733e-42
Clone_3,SH2D2A,13.543248,2.2726607,8.686143417977064e-42,1.19396470119731e-38
Clone_3,CREM,13.483144,1.3596923,1.9654891793601595e-41,2.5427649130392934e-38
Clone_3,TUBA4A,13.425352,1.7780071,4.295389261267881e-41,5.24824977905914e-38
Clone_3,BTG1,13.3255415,1.0287323,1.644358844971288e-40,1.8305956710050756e-37
Clone_3,NKG7,13.324623,2.4891794,1.6647075624108359e-40,1.8305956710050756e-37
Clone_3,CD8A,13.149955,2.544954,1.7027645488805685e-39,1.7832809868347782e-36
Clone_3,GZMB,13.09954,2.99551,3.3126175976810453e-39,3.311563582990874e-36
Clone_3,ADGRE5,13.0373955,1.3245463,7.497448837867599e-39,7.169190969183569e-36
Clone_3,CALM1,12.932384,0.8904368,2.9551245843766113e-38,2.7080022910081175e-35
Clone_3,PTPRC,12.86888,1.2572145,6.737180150139909e-38,5.698877040077962e-35
Clone_3,CXCR4,12.529708,1.2235788,5.135172672444085e-36,4.033494735180813e-33
Clone_3,RBM38,12.511554,1.8023721,6.454900822008509e-36,4.895263233739074e-33
Clone_3,CD3D,12.4799385,1.862063,9.606126984750061e-36,7.04225169252027e-33
Clone_3,SRSF7,12.288646,1.1113821,1.0423775111623985e-34,7.164065188435822e-32
Clone_3,CD3E,12.1777525,1.6484969,4.083810260720683e-34,2.7216739110312115e-31
Clone_3,FAM177A1,12.132743,1.3607012,7.083672250785405e-34,4.451177251757811e-31
Clone_3,ARHGDIB,12.104016,1.0366821,1.005677214162789e-33,6.143849714189505e-31
Clone_3,PTPN22,12.065058,1.965119,1.615494913104953e-33,9.34988937471506e-31
Clone_3,TNFAIP3,12.010393,1.2902409,3.133531160336925e-33,1.7670705335715383e-30
Clone_3,ISG20,11.991185,1.3647869,3.9520876064255326e-33,2.1356774130617364e-30
Clone_3,GZMA,11.990574,2.4387038,3.981392894808857e-33,2.1356774130617364e-30
Clone_3,EIF1,11.9082365,0.6243442,1.0722101742681043e-32,5.483981014576377e-30
Clone_3,SPOCK2,11.83416,1.6329057,2.599317101728785e-32,1.299245023143663e-29
Clone_3,DUSP4,11.828075,1.5728215,2.794772108313033e-32,1.3658982884028563e-29
Clone_3,EML4,11.771099,1.1160392,5.50034148830694e-32,2.629761094615968e-29
Clone_3,TSC22D3,11.741284,1.0790917,7.828806789847086e-32,3.663381866576744e-29
Clone_3,LEPROTL1,11.570049,1.4256616,5.844888473736118e-31,2.52052220005644e-28
Clone_3,EZR,11.45868,0.99566525,2.1273112326371242e-30,8.827538856488354e-28
Clone_3,RPS15A,11.387426,0.68278104,4.830491994433039e-30,1.9315820078830147e-27
Clone_3,IDS,11.361726,1.250626,6.485099898524045e-30,2.5022245976884094e-27
Clone_3,GZMH,11.113694,2.5061727,1.076130693003658e-28,3.756721004957056e-26
Clone_3,PPP1R16B,11.083541,1.5251358,1.5078937990735175e-28,5.18173567547248e-26
Clone_3,RPL36AL,11.080039,0.6800509,1.5680426375542514e-28,5.305532573497022e-26
Clone_3,JUND,11.03095,0.8018409,2.7098862163137922e-28,8.76448934638077e-26
Clone_3,IL32,10.994234,1.5004195,4.073555212778948e-28,1.298401446299238e-25
