leiden,B cell,Dendritic cell,Endothelial,Fibroblast,Mast cell,Myeloid/Macro,NK cell,Plasma cell,T cell,Tumor epithelial,Unknown
0,0,0,5,4,3,0,90,5,293,1,13
1,2,1,4,1,3,1,50,8,235,0,23
2,0,0,1,0,0,299,1,1,0,0,1
3,0,2,0,0,0,180,0,0,1,0,1
4,100,5,0,0,0,0,1,4,0,0,1
5,0,0,0,0,0,0,1,1,0,153,0
6,2,2,2,0,2,0,5,5,225,1,44
7,0,0,0,0,1,7,1,2,0,0,3
8,0,0,2,0,0,3,55,3,21,1,15
9,1,0,0,0,0,0,0,66,0,0,0
10,0,0,30,21,1,2,0,1,0,1,2
11,0,0,0,0,82,0,0,0,0,0,0
12,0,0,0,0,0,1,0,0,0,46,0
13,214,7,0,0,1,0,0,3,0,0,1
