leiden,cyt_score,tme_CYT,tme_TIS,tme_IFNg,tme_immunosuppression,tme_immune_estimate,tme_stromal_estimate
0,0.5191657,0.7709970027413862,0.4599111110129958,0.13844140624177867,0.1017666409851486,0.5627542163004217,0.0674392356868343
1,0.0,-0.15667047895368982,0.07927315846356836,-0.16869905495252766,-0.07500611552504216,0.04332769370207875,0.014853331424450143
2,0.010038011,-0.3213686662966885,0.32250973362568425,0.20930135705122133,0.026458258210336247,-0.42124281279015213,0.16870733978216698
3,0.0,-0.29122673716234126,0.2136883318573985,0.136436899110027,0.1327271406051964,-0.3881682830775724,0.12778500856192632
4,0.019395173,-0.2502514961176905,0.2565068270245313,0.1502482780752511,-0.1110400113902714,-0.0800785275943167,-0.009441728427187166
5,0.012222843,-0.2737005570453982,-0.08303272991363912,-0.14390189609989043,-0.02228047305046283,-0.3300454208428525,-0.15045500653223703
6,0.017078772,-0.19708351618072892,0.06957747331891852,-0.20907663653828337,-0.02893634374943061,0.022408096190385914,0.06839131259602406
7,0.0,-0.14154898330569268,0.11672021384964038,-0.03158457368612289,0.10845222863786501,-0.188632125536122,-0.026420942396368018
8,0.5146637,0.7451164616270458,0.3449611335696595,0.16363096857785284,0.03028025565934974,0.5159130066369745,0.020949005495600383
9,0.013471971,-0.1318560112412296,0.11038487751275276,-0.07945461913720886,-0.029979528069063604,-0.03434799550714434,0.04075127791565334
10,0.051446028,-0.2872637142673615,0.16160628538658528,0.024617278114441903,-0.07276328747205733,-0.31687687729473385,0.3867536415530081
11,0.03403885,-0.3219349033926047,0.36690874645055116,0.26335379558451033,0.07412294344263334,-0.36054787197228694,0.08029550863993468
12,0.0,-0.3202860154634641,0.029282490059871755,-0.1972922044918861,0.09119272241154015,-0.36751944568332084,0.1753993290750118
13,0.0,-0.28799313177665076,0.06271894182680529,-0.018915387690067297,-0.07257875807394526,-0.34650370263517666,-0.08907469544747319
14,0.0,-0.2890756680325764,0.23295369437093125,0.10918466693599051,-0.10539325536005455,-0.05392896636348306,-0.007935010058941974
15,0.03458535,-0.060531139457434935,0.13112035719888998,-0.08863555151119568,0.06730495607241943,0.10087754597269584,0.011174542688566054
16,0.015128551,-0.2722742776517515,-0.010402083382120467,-0.12747443124100014,-0.08323785778009538,-0.305468697178496,1.6180724145070153
