leiden,sig_proliferation,sig_apoptosis_resistance,sig_angiogenesis,sig_invasion_metastasis,sig_EMT_mesenchymal,sig_EMT_epithelial,sig_stemness,sig_hypoxia,sig_DDR,sig_glycolysis
0,0.042066221655589604,0.04879092543367877,-0.09171499480667734,0.21055317382926592,0.3254978368055393,-0.08943914089231746,-0.05498323013385137,0.12178736099762281,-0.002657005967051944,0.40458584612960297
1,0.021784077594514752,0.0715857633632389,-0.10661691405232517,0.12238679229794397,0.1360545884620669,-0.08561554587329097,-0.0317515280337933,0.009320951910292516,0.016624236044755304,0.3385634391815936
2,-0.0344902744423598,0.161565548239927,0.17194662784506082,0.5038484700153929,0.4640835488623962,-0.14601951059614596,0.08666546516423303,0.2858334909397654,-0.03318740530419796,0.7720729078970304
3,-0.04161297995111217,0.22242869131634202,0.18701885857207676,0.4063618267545049,0.48334096369350915,-0.11992012363447775,0.08168736637070559,0.4124196658315866,-0.0378800297472973,0.9115296958581262
4,0.0025008165682184284,0.040839639485567465,-0.0522846438153565,0.08721156398885943,0.10400581904643863,-0.1042628874690878,0.018222168130436162,-0.13458945886020005,0.026980034406696045,0.17709057039639045
5,0.03860251963715399,-0.05336602325080544,-0.032889771662338564,-0.14779967450381423,-0.1849264307956679,1.0608420809800216,0.1048226451091869,0.6818731480260048,-0.009182864489437248,1.323135858105075
6,0.016876445069748867,0.06828303101897383,-0.10617799682538846,0.19720743840984728,0.26458615446664463,-0.08747172433961503,-0.016220420275680197,0.06469749389583491,-0.004373782387893138,0.33367899262990575
7,0.0253447325527668,0.15377282351255417,0.0909261491410419,-0.010259944796562202,0.05394802297864641,-0.0394641125723328,-0.007440819044907887,0.13570048429071904,-0.02377498363809926,0.36391758374869826
8,0.009207875109120703,0.052895798994509614,-0.08565992112048473,0.12636363201182177,0.2321285685043784,-0.08755129284900864,-0.04777092763249496,-0.02021761086549652,0.03284954430299242,0.23165245050348146
9,0.012635054229133165,0.18598634306293219,-0.01697531206131756,0.1361882314804012,0.1463388175820745,-0.05519839938159351,-0.004060913821061452,-0.038795566065097924,0.0057227266799094595,0.24096165723765076
10,-0.07447981024942091,0.09645258107749365,0.5443840264209974,0.3347016748525031,0.44920468311705347,-0.08935443725011305,0.06502470708662464,0.05693405037926089,-0.060655050744658795,0.5114041175380829
11,0.0033689545430973457,0.06484253773658105,0.131260494008886,0.46552753572704414,0.323345851422358,-0.14270994581612498,0.04402607101630541,0.24469715839507533,-0.02590452109565254,0.7723740659040563
12,-0.043435187589975055,0.10115113886687982,0.08470725774352958,0.379592676684129,0.5039575321249651,-0.09366007584644252,0.02867477688279171,0.003417760862244499,-0.028528003385142674,0.2405794812426155
13,-0.07074646399356425,0.04367499476671219,0.017536390485613826,-0.021763952690221012,-0.05691260860922436,1.1901235664312313,0.02116669917686118,0.3242221784591675,-0.033020091557077,0.6896517974883318
14,-0.004544950379104148,0.06398120678886166,-0.086764050959522,0.09376003411921059,0.18342584642300622,-0.10842163727364133,-0.043372271299362185,-0.1620885002685756,0.03637327484573637,0.02401838142697404
15,0.007390432180019848,0.17217392399715403,-0.07960812079900556,0.06656388001931939,0.30109627052357324,-0.07446076403703306,-0.05011711028584263,-0.07083877868819655,0.03143706629150792,0.03293269138587149
16,-0.05084138058953815,0.08599454610141706,0.06223859108592632,0.5677801580025406,0.7567967592345343,0.0008897019388004427,0.11916566333653016,0.10091102591267338,-0.04237160608881996,0.589872746290984
