leiden,TP53,MYC,STAT1,NFKB1,HIF1A,SOX2,FOXP3,TBX21,GATA3,TWIST1,SNAI1,NKX2-1
0,-0.05173423223581044,0.5815515300216745,0.697778469816572,-0.04536924396377549,0.1740271294174563,-0.06138553226051699,0.007143078210849117,0.12367660330113582,-0.010231907222006056,0.33536461906387033,0.31036223142734476,-0.03275259489454509
1,0.046332983587677054,0.3633977812466306,0.6353373149452991,0.08408927597168996,0.003350919955145053,-0.04372016446256056,0.06254145329318396,0.03680268217877644,0.007307008379843177,0.20840834776075876,0.18672323402253593,-0.036374387446700074
2,-0.05348626205888574,0.40766031796651575,0.5128216808334748,0.3764640283987189,0.14078337882218186,0.1811284596411505,-0.05636039851522288,-0.26884369269456015,-0.0001666191163236155,0.6003557711025276,0.7359496048212838,-0.03410967759566732
3,-0.018854998421965176,0.4566004504624361,0.45075776040088905,0.238960477796544,0.267262810792612,0.15422844016843515,-0.11214664343452972,-0.37180491933356163,-0.009186139045202213,0.5634459119931511,0.5729008984306584,-0.04424011600406273
4,0.10914422161391955,0.4253786979791485,0.5433573680156427,0.10357875042918484,-0.16350428005596537,-0.03238197033469741,-0.09114380602793651,-0.2895323555319159,0.02197480038050059,0.09255420369500512,0.0714741687173242,-0.039833103955329
5,-0.07589057792101038,0.7594592617843557,-0.07879935524698325,-0.05625409832028067,0.674861414958072,0.015873366403964258,-0.10440755795586493,-0.3707381328075163,-0.015525209205381332,-0.20565788959380119,-0.2352328863628449,-0.05359726788151649
6,0.08823696428584674,0.5870145673308739,0.5262148590848656,-0.038639134049601766,0.08584520934632531,-0.029200103220840292,0.2305585818754302,-0.11958046423064338,0.03192325459420681,0.29392604984177484,0.27276667565438484,-0.02866792189785176
7,0.011199121105427642,0.009762843449910479,0.9035422919870734,1.466138100391548,0.22506677025840396,-0.0032760654176984434,-0.06021390295028687,0.12704621996198381,-0.020975832871028357,0.0007531247820173019,-0.005442828042166568,0.03449711339814322
8,-0.043252534978049144,0.17558895209857395,0.4393763844783489,0.07703995992620306,-0.040418375587463376,-0.07133364409208298,-0.046706745996475216,0.2374459618091583,0.006377007007598876,0.13898321164131164,0.11234991121292115,-0.03370661631822586
9,0.18826724388553642,0.22808640445134448,0.5042466043832884,0.15023804126808785,-0.018368308983038907,-0.05738890089428247,-0.04323540637742228,-0.17457774998536751,-0.02730346192352807,0.22235592547459387,0.21101026600510325,-0.029798118018392307
10,0.08611875880175622,0.46098048761756155,0.6096620312525465,0.6840854084565193,0.0641227147634002,0.08421778493914112,-0.02583635592049566,-0.3779350496160573,-0.020721338457074658,0.8659416653863315,0.7411369505915149,-0.07821752747585034
11,-0.09057102242164079,0.1877015817511511,0.3675846453194621,0.4246645217830911,6.935590650976862e-05,0.0020949156691388382,-0.03511311706682531,-0.30484359101551334,0.02493216431431654,0.5489029084182366,0.5306364138068222,-0.03509032285794979
12,0.11296567154510406,0.45596706732911296,0.2363192478425504,0.42577170390588936,0.28145919098076244,0.005443092933360567,-0.17461591848921268,-0.41309611122658907,-0.010281945152485625,-0.0073499513230425246,-0.020940985816590336,1.6423979536776847
13,0.000720228025494272,0.4250656550040086,0.4838794957003627,0.0040968853839828245,-0.15795617938744988,-0.079167592644164,-0.10017450870349344,-0.3608968142334339,0.014563975404849093,0.15253619607570953,0.1428822113686958,-0.03365332551762066
