group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,CCL5,30.24457,5.0237823,6.149827862208328e-201,1.3525316417354777e-196,0.9753694581280788,0.2526636225266362
0,CD8A,29.951986,4.3165793,4.145487894109567e-197,4.558585762757586e-193,0.7807881773399015,0.11770674784373414
0,GZMB,25.992334,4.216318,6.045958400746044e-149,4.432292103586925e-145,0.6896551724137931,0.1248097412480974
0,GZMA,24.284529,3.6195066,2.856440862795144e-130,1.57054259738634e-126,0.6625615763546798,0.13039066463723997
0,GZMH,24.041534,3.6515083,1.0236022672886634e-127,4.502416932895915e-124,0.6059113300492611,0.10096397767630644
0,CTSW,23.811478,3.3391545,2.5400857853815714e-125,9.31068444631615e-122,0.7167487684729064,0.17148655504819887
0,CXCR6,23.100536,3.819462,4.5728980981422325e-118,1.4367392553206017e-114,0.5467980295566502,0.09335362760020294
0,CD7,22.824383,3.2020466,2.6261817982072595e-115,7.219702035996533e-112,0.8620689655172413,0.33231861998985285
0,NKG7,22.242643,3.2398045,1.3289296861165513e-109,3.2474611763068124e-106,0.7019704433497537,0.182648401826484
0,CST7,22.08336,3.0878618,4.5682998729284385e-108,1.0047061910531514e-104,0.7783251231527094,0.26382546930492135
0,CD8B,21.549006,3.3040998,5.409742934356578e-103,1.0816043305027656e-99,0.5197044334975369,0.08878741755454084
0,HLA-B,21.384403,1.3702906,1.8665586799344335e-101,3.4209354206498335e-98,1.0,0.928462709284627
0,CD3D,21.322168,2.8523014,7.070569915300382e-101,1.1961772626707793e-97,0.7635467980295566,0.2709284627092846
0,CD3E,20.837606,2.698905,1.9746520423017804e-96,3.102037311881647e-93,0.8275862068965517,0.3191273465246068
0,SH2D2A,20.737864,2.9203248,1.5778115475506126e-95,2.3133872910187082e-92,0.6650246305418719,0.20598680872653474
0,LINC01871,20.471062,3.5344856,3.900304220105267e-93,5.361211919548447e-90,0.43842364532019706,0.06950786402841197
0,LINC02446,20.118456,3.6867375,5.086819002494057e-90,6.580847665991283e-87,0.4039408866995074,0.05733130390664637
0,PTPN22,19.810913,2.7750092,2.396993572844115e-87,2.928726647086701e-84,0.687192118226601,0.2496194824961948
0,TUBA4A,19.62772,2.5483758,8.964748401708499e-86,1.0376932189409212e-82,0.8078817733990148,0.4180618975139523
0,ZFP36L2,19.367018,2.2773218,1.4650269838531846e-83,1.6110169227941544e-80,0.9310344827586207,0.6950786402841197
0,SLA2,19.125051,3.1442509,1.562195935495418e-81,1.6360654861595585e-78,0.43596059113300495,0.08117706747843734
0,FYN,18.96508,2.3617976,3.3152590301677436e-80,3.314204175021781e-77,0.8719211822660099,0.43480466768138
0,CRTAM,18.889318,3.5012858,1.3963862511829957e-79,1.3352488183594619e-76,0.42857142857142855,0.08269913749365804
0,SYTL3,18.769896,2.332612,1.33147369865808e-78,1.2201292106077982e-75,0.8078817733990148,0.4337899543378995
0,KLRK1,18.743507,2.90717,2.18725632663781e-78,1.924173135669814e-75,0.4605911330049261,0.0928462709284627
0,DUSP4,18.727602,2.4763143,2.949001480432727e-78,2.494514983044499e-75,0.8004926108374384,0.4033485540334855
0,PDE3B,18.569174,2.570878,5.7074387166434636e-77,4.649025914634803e-74,0.7019704433497537,0.27600202942668695
0,ITGAE,18.380884,2.7661085,1.8689643643105545e-75,1.4680047594386438e-72,0.6551724137931034,0.2810755961440893
0,CD96,18.237104,2.5401783,2.619720893798379e-74,1.9867421247347502e-71,0.6133004926108374,0.20446473871131404
0,XCL2,17.949926,3.392068,4.805361539263428e-72,3.522810544434019e-69,0.3669950738916256,0.061390157280568236
0,LEPROTL1,17.894733,2.210081,1.296154155010982e-71,9.195586558437589e-69,0.8054187192118226,0.46778285134449515
0,HLA-C,17.80341,1.1814827,6.649536445801701e-71,4.57010172039115e-68,0.9975369458128078,0.9299847792998478
0,CALM1,17.525717,1.3956478,9.118548924067187e-69,6.077098378394231e-66,0.9532019704433498,0.8381532217148655
0,NELL2,17.37503,2.7877614,1.2753898965441412e-67,8.014185712770086e-65,0.4729064039408867,0.12379502790461694
0,TGFB1,17.350906,1.8563187,1.9415930353150787e-67,1.154093395288771e-64,0.8596059113300493,0.6575342465753424
0,PRF1,17.311401,2.8043666,3.859104579954884e-67,2.2335075533407307e-64,0.3891625615763547,0.0730593607305936
0,PARD6G,17.211016,3.4637938,2.1954438543512527e-66,1.238061453557618e-63,0.35467980295566504,0.0669710806697108
0,GNG2,17.133577,2.0797486,8.336595326775858e-66,4.583668525544536e-63,0.8226600985221675,0.46017250126839165
0,PTPRC,16.982775,1.824205,1.1015392476901993e-64,5.908817725475744e-62,0.8940886699507389,0.6605783866057838
0,ALOX5AP,16.87863,2.2804534,6.462672265266291e-64,3.3841321697619414e-61,0.7192118226600985,0.3678335870116692
