leiden,cyt_score,tme_CYT,tme_TIS,tme_IFNg,tme_immunosuppression,tme_immune_estimate,tme_stromal_estimate
0,0.5191657,0.7689833739062248,0.42777593969834177,0.11889212153228046,0.0772069417719854,0.590194639137813,0.07062664531493487
1,0.0,-0.1459560893793575,0.06812218129524655,-0.16007969723373164,-0.08396543892426749,0.08052466007740171,0.006193657958225258
2,0.010038011,-0.3245439163559094,0.32026448888507925,0.21926376995516986,0.047325620385181795,-0.3978601007270321,0.1657510773623539
3,0.0,-0.2897211710007294,0.1967389391286838,0.12926636352487234,0.1378458621189643,-0.3784942436848197,0.11773613542462316
4,0.019395173,-0.2584709791972719,0.2366063085219265,0.15216338751233857,-0.10569748722053943,-0.06609627506208039,-0.00690969272591602
5,0.012222843,-0.25512933107922153,-0.11782468500583429,-0.1553317067776957,-0.0553217108599129,-0.3699819284360403,-0.14869760447430783
6,0.017078772,-0.18464016843440284,0.059251957400267334,-0.19534604931390415,-0.04645262306296238,0.05701251255463463,0.06412403001010489
7,0.0,-0.16682715266942977,0.11527912010599796,-0.009107367396354673,0.11924175716432414,-0.1945299447774887,-0.043955406265126326
8,0.5146637,0.7464918491724278,0.310056361316692,0.14997383845432868,0.0050053556399464625,0.5233084627320189,0.01821819226046279
9,0.013471971,-0.09044917394865805,0.10131248099130369,-0.08164574850851031,-0.035839657931912336,-0.02269456642558189,0.04653403247766827
10,0.051446028,-0.2681237273062429,0.12137810965216846,0.027266078379846393,-0.09223068963579582,-0.3447045874134187,0.39233497866592953
11,0.03403885,-0.35031360899700836,0.35669068916639857,0.2688401511603711,0.09154519768904135,-0.3556507337607589,0.08143666429197607
12,0.0,-0.2893255583445231,0.011575792692185565,-0.18676025060959806,0.07793307863070209,-0.3676655404859798,0.16834189239679867
13,0.0,-0.26735730479160946,0.03676408507703772,-0.012199848393599192,-0.056543172598798035,-0.3610634926668344,-0.06985746973849556
14,0.0,-0.2734565047519963,0.22662099622695386,0.11876057983026271,-0.09282178184520082,-0.04575045065029925,0.0027379428829927095
15,0.03458535,-0.02328170178229349,0.11349770356032512,-0.0921725488545602,0.05801892714756286,0.10621418140452563,0.0010521045646704685
16,0.015128551,-0.2360813757225319,-0.05175737201320995,-0.11680324126172949,-0.08027626145110647,-0.34787456510277553,1.607740899505929
