ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
TGFB1,TGFBR2,Myeloid/Macro,Myeloid/Macro,1.1381,0.2641,0.3006
TGFB1,TGFBR2,Dendritic cell,NK cell,0.7099,0.4224,0.2998
SPP1,CD44,Fibroblast,T cell,0.1672,1.7726,0.2964
TGFB1,TGFBR2,Endothelial,Dendritic cell,1.0881,0.2716,0.2956
TGFB1,TGFBR2,Unknown,Mast cell,1.4415,0.2045,0.2948
TGFB1,TGFBR2,Unknown,Plasma cell,1.4415,0.2018,0.291
CD80,CTLA4,Dendritic cell,T cell,0.5365,0.5394,0.2894
TGFB1,TGFBR2,Endothelial,Myeloid/Macro,1.0881,0.2641,0.2874
SPP1,CD44,Fibroblast,NK cell,0.1672,1.7159,0.2869
CXCL12,CXCR4,Fibroblast,Endothelial,0.3063,0.9334,0.2859
SPP1,CD44,Plasma cell,Fibroblast,0.2266,1.2495,0.2832
TGFB1,TGFBR2,Dendritic cell,B cell,0.7099,0.3957,0.2809
TGFB1,TGFBR2,Mast cell,Dendritic cell,1.0175,0.2716,0.2764
TGFB1,TGFBR2,Fibroblast,Fibroblast,0.6014,0.4485,0.2698
TNF,TNFRSF1A,Dendritic cell,Myeloid/Macro,0.4539,0.5924,0.2689
TGFB1,TGFBR2,Mast cell,Myeloid/Macro,1.0175,0.2641,0.2687
CCL5,CCR5,NK cell,Myeloid/Macro,3.395,0.0775,0.2632
SPP1,CD44,Unknown,Mast cell,0.1038,2.5294,0.2626
TGFB1,TGFBR2,Tumor epithelial,Fibroblast,0.5803,0.4485,0.2603
SPP1,CD44,Mast cell,Mast cell,0.1024,2.5294,0.259
TNF,TNFRSF1A,B cell,Tumor epithelial,0.388,0.6641,0.2577
SPP1,CD44,Fibroblast,Dendritic cell,0.1672,1.5394,0.2574
SPP1,CD44,Plasma cell,Plasma cell,0.2266,1.1263,0.2553
TGFB1,TGFBR2,B cell,Dendritic cell,0.939,0.2716,0.2551
TGFB1,TGFBR2,Fibroblast,NK cell,0.6014,0.4224,0.254
CCL5,CCR5,NK cell,NK cell,3.395,0.0733,0.2488
TGFB1,TGFBR2,B cell,Myeloid/Macro,0.939,0.2641,0.248
TNF,TNFRSF1A,NK cell,Tumor epithelial,0.3704,0.6641,0.246
TGFB1,TGFBR2,Tumor epithelial,NK cell,0.5803,0.4224,0.2451
SPP1,CD44,Fibroblast,B cell,0.1672,1.4613,0.2443
TGFB1,TGFBR2,Plasma cell,Dendritic cell,0.8928,0.2716,0.2425
TNF,TNFRSF1A,Dendritic cell,Fibroblast,0.4539,0.5293,0.2403
TGFB1,TGFBR2,Fibroblast,B cell,0.6014,0.3957,0.238
CXCL12,CXCR4,Fibroblast,Fibroblast,0.3063,0.7732,0.2368
TGFB1,TGFBR2,Plasma cell,Myeloid/Macro,0.8928,0.2641,0.2358
TGFB1,TGFBR2,Myeloid/Macro,Mast cell,1.1381,0.2045,0.2328
TNF,TNFRSF1A,B cell,Myeloid/Macro,0.388,0.5924,0.2299
TGFB1,TGFBR2,Myeloid/Macro,Plasma cell,1.1381,0.2018,0.2297
TGFB1,TGFBR2,Tumor epithelial,B cell,0.5803,0.3957,0.2296
SPP1,CD44,Endothelial,Mast cell,0.0889,2.5294,0.2248
TGFB1,TGFBR2,Endothelial,Mast cell,1.0881,0.2045,0.2226
TNF,TNFRSF1A,T cell,Tumor epithelial,0.3347,0.6641,0.2223
SPP1,CD44,Dendritic cell,Endothelial,0.3228,0.6842,0.2208
TGFB1,TGFBR2,Endothelial,Plasma cell,1.0881,0.2018,0.2196
TNF,TNFRSF1A,NK cell,Myeloid/Macro,0.3704,0.5924,0.2194
SPP1,CD44,Fibroblast,Fibroblast,0.1672,1.2495,0.2089
TGFB1,TGFBR2,Mast cell,Mast cell,1.0175,0.2045,0.2081
TGFB1,TGFBR2,Mast cell,Plasma cell,1.0175,0.2018,0.2054
TNF,TNFRSF1A,B cell,Fibroblast,0.388,0.5293,0.2054
TNF,TNFRSF1A,T cell,Myeloid/Macro,0.3347,0.5924,0.1983
TNF,TNFRSF1A,NK cell,Fibroblast,0.3704,0.5293,0.196
SPP1,CD44,Dendritic cell,Tumor epithelial,0.3228,0.6047,0.1952
TGFB1,TGFBR2,Dendritic cell,Dendritic cell,0.7099,0.2716,0.1928
TGFB1,TGFBR2,B cell,Mast cell,0.939,0.2045,0.1921
SPP1,CD44,Tumor epithelial,Mast cell,0.0759,2.5294,0.1919
