leiden,cyt_score,tme_CYT,tme_TIS,tme_IFNg,tme_immunosuppression,tme_immune_estimate,tme_stromal_estimate
0,0.5189784,0.7745526706999626,0.45779871235750086,0.13607104044029678,0.10521262015866331,0.559531994630789,0.07284117122875128
1,0.23504694,0.3532689135103691,0.25438698087620626,0.0412375606487437,-0.015429634416195909,0.3133366024831588,0.0206432790202177
2,0.010866229,-0.36557960253934263,0.33026517995851606,0.21691391541226074,0.028355290944721584,-0.4223097996326196,0.16181337028534193
3,0.00943468,-0.3144543027359506,0.2676861310624198,0.18087829449254536,0.09825744225723511,-0.3849249244309389,0.11704691630126775
4,0.025336036,-0.2256509325096199,0.2354124573066065,0.13371180665385615,-0.13755552630958984,-0.03890130481361068,-0.025668086062919152
5,0.012222843,-0.2646059476925481,-0.07513046632731624,-0.14390189609989043,-0.025808307857383896,-0.3300454208428525,-0.14869760447430783
6,0.021848546,-0.17028107567793793,0.07141305544339728,-0.20535069630377822,-0.03349158999277646,0.02665946490980036,0.05529738613944731
7,0.0,-0.14138609749930245,0.11125321965701769,-0.028234998158046174,0.13081045598342975,-0.1789006875016808,-0.04393421892135862
8,0.56687975,0.6032680128335953,0.22567525272326786,0.05494946248531341,0.0745460367710668,0.42303687314726446,-0.00896724936167399
9,0.013471971,-0.12979446055284186,0.11221767410609747,-0.07945461913720886,-0.030557222752147836,-0.03434799550714434,0.04653403247766827
10,0.034539618,-0.26860245827970836,0.0781396057808683,-0.046184034861367323,-0.07879604976955322,-0.3115661727578645,0.9581273900914467
11,0.0,-0.32691359159423083,0.02813800548478218,-0.19407084139381967,0.09212468629031338,-0.36629995856552083,0.16918414447365737
12,0.0,-0.2848160541311224,0.050827849470249334,-0.022710162933836597,-0.07797724101263685,-0.36093634177662637,-0.07498192686490697
13,0.0,-0.2719502873336319,0.23292956137568457,0.10909041632593205,-0.1063957809881933,-0.05589099761914574,0.0058755999504640725
