leiden,cyt_score,tme_CYT,tme_TIS,tme_IFNg,tme_immunosuppression,tme_immune_estimate,tme_stromal_estimate
0,0.5052591,0.7832380878338085,0.4529146906774762,0.13240469631002125,0.13805314802966878,0.5736420313266698,0.06829245351838101
1,0.0,-0.14786259616817438,0.06494528186527664,-0.16760642513908683,-0.04405231872955719,0.06918119430211545,0.016351030322763176
2,0.010099594,-0.35560265633774685,0.32142320399848284,0.20753998377211647,0.05120528037806474,-0.3830272543088284,0.17290408321684855
3,0.0,-0.281657371089572,0.20105435982374933,0.09940299215000707,0.1486376013478274,-0.34732155300950834,0.10919699456199766
4,0.027303884,-0.20917365828764092,0.2227076969413018,0.1423434488568741,-0.11185625184572502,0.0022461206793696078,-0.02705901871864335
5,0.0,-0.3493781687945128,-0.10026078149434435,-0.14803797261738896,0.025524887363115947,-0.39881964021416816,-0.17657627239111398
6,0.016430957,-0.17192456912172252,0.07023898269498843,-0.20911954031765637,-0.006069565579352248,0.06943078430666531,0.0557218434344763
7,0.54741746,0.787977935157039,0.3421084581243595,0.17142868356602511,0.05937608732920303,0.5512468739011627,0.014448457515801646
8,0.013471971,-0.08416324135082871,0.10374299568461291,-0.07777974210013991,0.0018728661655786631,-0.022893875191050204,0.04489258336388254
9,0.049838338,-0.27039839267730714,0.15769386347284212,0.01331236900658763,-0.0766523371802436,-0.31893816497921945,0.36154429928296145
10,0.02445044,-0.34934305575531976,0.35481579288713594,0.26464529841794476,0.09900724650548658,-0.3575790888136929,0.07866348292159736
11,0.0,-0.3087087404580764,0.022938791917974356,-0.20085558268293066,0.10459786424257464,-0.3607796730257054,0.1764514244534842
12,0.0,-0.2951214408874512,0.04494581619342413,-0.015883274106823626,-0.047256899332558666,-0.3463288264782765,-0.07931283251761838
13,0.0,-0.2470220665461004,0.2317733421766133,0.1137433237195141,-0.08360011725864583,-0.00611384125423337,0.005841303905760838
14,0.034446195,-0.19013513417677447,-0.11613170009024788,-0.1522483601462302,-0.07204413142348781,-0.2714145453713157,-0.12060388984583845
15,0.033412963,-0.014162915439928996,0.14147221969022408,-0.07818186773208873,0.08468443142267719,0.11595098248423312,-0.007447826931930082
16,0.015128551,-0.2571463565473203,-0.03938388682480871,-0.12352415327140122,-0.06524172565083444,-0.3182614669582443,1.6044134455158878
