leiden,cyt_score,tme_CYT,tme_TIS,tme_IFNg,tme_immunosuppression,tme_immune_estimate,tme_stromal_estimate
0,0.5189784,0.7853907955211142,0.45742180766405227,0.1488587947801691,0.0799816876013707,0.5870375539856921,0.07284117122875128
1,0.23504694,0.3523556447901377,0.2538090779391364,0.06207700911818481,-0.03397755366467972,0.330119857251085,0.0206432790202177
2,0.010866229,-0.35472977424415425,0.33141121615906577,0.2443587914001037,0.04768264217794869,-0.3985205429890156,0.16181337028534193
3,0.00943468,-0.3139767053334609,0.26866725878074454,0.19879907420795898,0.11079959151324269,-0.37749325710305803,0.11704691630126775
4,0.025336036,-0.2245227879446906,0.23544289665312929,0.14323148497590074,-0.13678743728647186,-0.021598324867560473,-0.025668086062919152
5,0.012222843,-0.27310277712537395,-0.08167871307489136,-0.13850408353344085,-0.0553217108599129,-0.3699819284360403,-0.14869760447430783
6,0.021848546,-0.18888044950862726,0.07172872264053051,-0.17992027854753864,-0.05037882738040149,0.06153915201522347,0.05529738613944731
7,0.0,-0.15491808942386084,0.11707489405597257,0.0015427054677690807,0.14911175566622176,-0.1879471342904227,-0.04393421892135862
8,0.56687975,0.6152246514558792,0.22496802577354735,0.06754727904796601,0.05413813879316612,0.42855179290257966,-0.00896724936167399
9,0.013471971,-0.09432694933307705,0.11112308237496354,-0.07865625893891748,-0.035839657931912336,-0.02269456642558189,0.04653403247766827
10,0.034539618,-0.2578880648777403,0.0815598694801092,-0.020644876237573287,-0.08666569720499215,-0.3461802666826021,0.9581273900914467
11,0.0,-0.30835401604815227,0.03065716815993864,-0.16847671177329088,0.07995959613153035,-0.36546441162191684,0.16918414447365737
12,0.0,-0.28340791392833625,0.05051597930927417,0.0034804278231681577,-0.06246858043055653,-0.3751565507074815,-0.07498192686490697
13,0.0,-0.27343375533027986,0.23410567370585067,0.11925234001294702,-0.09478591497175282,-0.04676830074590757,0.0058755999504640725
