ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
TGFB1,TGFBR2,Endothelial,Tumor epithelial,1.0508,0.0983,0.1033
VEGFA,KDR,Fibroblast,Endothelial,0.6013,0.1706,0.1026
SPP1,CD44,Fibroblast,Tumor epithelial,0.1672,0.6018,0.1006
TNF,TNFRSF1A,Myeloid/Macro,Tumor epithelial,0.1517,0.6608,0.1003
TGFB1,TGFBR2,Mast cell,Tumor epithelial,1.0175,0.0983,0.1001
SPP1,CD44,Endothelial,Plasma cell,0.0889,1.1263,0.1001
SPP1,CD44,NK cell,Fibroblast,0.0799,1.2495,0.0998
CD80,CTLA4,B cell,T cell,0.1868,0.5326,0.0995
VEGFA,FLT1,Fibroblast,Myeloid/Macro,0.6013,0.1648,0.0991
CCL5,CCR5,Unknown,Dendritic cell,0.825,0.1186,0.0978
SPP1,CD44,Tumor epithelial,Fibroblast,0.0755,1.2495,0.0943
TGFB1,TGFBR2,B cell,Tumor epithelial,0.9361,0.0983,0.092
SPP1,CD44,Dendritic cell,Tumor epithelial,0.1526,0.6018,0.0918
IL6,IL6R,Endothelial,Mast cell,0.2273,0.4018,0.0914
SPP1,CD44,NK cell,Plasma cell,0.0799,1.1263,0.0899
TNF,TNFRSF1A,Myeloid/Macro,Myeloid/Macro,0.1517,0.5912,0.0897
PDGFA,PDGFRA,Fibroblast,Fibroblast,0.3521,0.253,0.0891
SPP1,CD44,T cell,Myeloid/Macro,0.0482,1.8373,0.0886
FAS,FASLG,Dendritic cell,NK cell,0.3602,0.2458,0.0886
SPP1,CD44,T cell,Unknown,0.0482,1.8285,0.0882
VEGFA,FLT1,Mast cell,Dendritic cell,1.1046,0.0795,0.0879
TGFB1,TGFBR2,Plasma cell,Tumor epithelial,0.8928,0.0983,0.0878
CCL5,CCR5,Endothelial,Myeloid/Macro,1.1298,0.0774,0.0874
TNF,TNFRSF1A,Fibroblast,Endothelial,0.2258,0.3849,0.0869
SPP1,CD44,T cell,T cell,0.0482,1.7703,0.0854
SPP1,CD44,Tumor epithelial,Plasma cell,0.0755,1.1263,0.085
CXCL12,CXCR4,Endothelial,Dendritic cell,0.0569,1.493,0.085
VEGFA,FLT1,Dendritic cell,Endothelial,0.0948,0.8809,0.0835
TNF,TNFRSF1A,Mast cell,Tumor epithelial,0.1258,0.6608,0.0831
SPP1,CD44,T cell,NK cell,0.0482,1.7182,0.0828
CXCL10,CXCR3,Endothelial,NK cell,0.2335,0.3473,0.0811
TNF,TNFRSF1A,Myeloid/Macro,Fibroblast,0.1517,0.5293,0.0803
IL6,IL6R,Fibroblast,Plasma cell,0.4471,0.174,0.0778
CD80,CTLA4,Dendritic cell,Plasma cell,0.5681,0.1364,0.0775
CD274,PDCD1,Mast cell,NK cell,0.2372,0.3243,0.0769
CCL5,CCR5,Unknown,T cell,0.825,0.0928,0.0766
VEGFA,KDR,Tumor epithelial,Endothelial,0.4476,0.1706,0.0764
SPP1,CD44,T cell,Dendritic cell,0.0482,1.5537,0.0749
TGFB1,TGFBR2,Dendritic cell,Tumor epithelial,0.7559,0.0983,0.0743
SPP1,CD44,Unknown,Endothelial,0.1038,0.7159,0.0743
TNF,TNFRSF1A,Mast cell,Myeloid/Macro,0.1258,0.5912,0.0743
VEGFA,FLT1,Tumor epithelial,Myeloid/Macro,0.4476,0.1648,0.0738
CXCL10,CXCR3,Endothelial,T cell,0.2335,0.3147,0.0735
SPP1,CD44,Mast cell,Endothelial,0.1024,0.7159,0.0733
CXCL12,CXCR4,Endothelial,Myeloid/Macro,0.0569,1.2666,0.0721
SPP1,CD44,T cell,B cell,0.0482,1.4617,0.0705
FAS,FASLG,NK cell,NK cell,0.2848,0.2458,0.07
CCL5,CCR5,Plasma cell,Dendritic cell,0.5908,0.1186,0.07
FAS,FASLG,Endothelial,NK cell,0.28,0.2458,0.0688
CD80,CTLA4,Myeloid/Macro,T cell,0.1289,0.5326,0.0686
CCL5,CCR5,Endothelial,NK cell,1.1298,0.0594,0.0671
TNF,TNFRSF1A,Mast cell,Fibroblast,0.1258,0.5293,0.0666
TNF,TNFRSF1A,Plasma cell,Tumor epithelial,0.1006,0.6608,0.0665
CD274,PDCD1,Mast cell,Unknown,0.2372,0.2728,0.0647
CCL5,CCR5,Unknown,Myeloid/Macro,0.825,0.0774,0.0638
SPP1,CD44,Endothelial,Endothelial,0.0889,0.7159,0.0636
