leiden,sig_proliferation,sig_apoptosis_resistance,sig_angiogenesis,sig_invasion_metastasis,sig_EMT_mesenchymal,sig_EMT_epithelial,sig_stemness,sig_hypoxia,sig_DDR,sig_glycolysis
0,0.045747370957464416,0.09315733938305468,-0.09018083940998615,0.23460802820746687,0.34613415829410543,-0.0963125173412632,-0.055727728641263526,0.12232770866529953,-0.0015803815974623188,0.46200337936768787
1,0.01528911209778815,0.114125587736688,-0.08857415000009204,0.1444789354468209,0.20496426657465275,-0.08934756146006191,-0.04019083578290978,-0.017792964950203896,0.026833966895418716,0.299310482375142
2,-0.029624032100582676,0.19400020792880338,0.17323081424471232,0.5279294537304655,0.4858652798950194,-0.12379263501243735,0.0896385549062943,0.26125877646723206,-0.03992634989872736,0.7611319461828805
3,-0.018579768106422347,0.2226738792601703,0.16443869915623102,0.4443202745693497,0.4540889091664775,-0.117179956101421,0.07251341741586077,0.35888082585904907,-0.039400509920387725,0.9226394472951476
4,-0.014099761567137263,0.08867444783932454,-0.04809321798412956,0.052340378342716216,0.07883734648292129,-0.10710011311223813,0.02140825569808662,-0.16553486008364873,0.037697217631294,0.11769532806701488
5,0.04329425356272728,-0.06894418305068888,-0.04623620743905344,-0.11212721637903454,-0.15896207237360388,1.0379813135413714,0.11593823586099893,0.6818731480260048,0.0037792286792521106,1.3737928634151335
6,0.017766580818634897,0.11909082831966655,-0.10667411006514042,0.20397159450209204,0.26817872660766756,-0.09099067418032852,-0.02045864097222134,0.06565980632065072,0.0027014234617707272,0.41828613271936776
7,0.022077677505356923,0.13226341862905594,0.09360378771412128,0.002136166475926294,0.07112766346152948,-0.05738246713365828,-0.013826435066404798,0.14577894466263905,-0.04282119244945293,0.36724364084856853
8,5.284943580627536e-05,0.1576186503648758,-0.08834056349481856,0.08793645177617504,0.2896152514253344,-0.07903082177525475,-0.0558406493028005,-0.04217572421431541,0.024404486238104955,0.17387611188292504
9,0.007903657009574905,0.21205398840631418,-0.019485520968305022,0.14133555133472045,0.15968056587458673,-0.057298740985635845,0.0004359035601663318,-0.038795566065097924,0.010986657714379877,0.26906038016525663
10,-0.06188148719997242,0.1076213864129165,0.3321651263601087,0.47049337796795276,0.6197487494393523,-0.021364671334453016,0.08873718857765198,0.0774060907137805,-0.045977399243509826,0.6174005050083686
11,-0.04211518451934907,0.1478492510842114,0.08681389700244943,0.39993629870406117,0.5524135813646616,-0.0783716349582362,0.013077424052284983,0.009363944479605044,-0.02419083422848157,0.3659117182289682
12,-0.07157860816476193,0.04232262553898155,0.025965342677472934,-0.032177259006765276,-0.057422678609658884,1.2033603820974703,0.025153899848038428,0.32337821356793667,-0.031076744410767018,0.7583782262751396
13,-0.013168881212451817,0.0912487636375568,-0.08349961190247807,0.10789768139549494,0.1935225527329481,-0.11270586457776964,-0.04590300524656752,-0.15791375188041576,0.03304591078240561,0.06431414239701971
