leiden,TP53,MYC,STAT1,NFKB1,HIF1A,SOX2,FOXP3,TBX21,GATA3,TWIST1,SNAI1,NKX2-1
0,-0.05831974765131962,0.6743376769907331,0.6162330298905695,-0.04720608570819713,0.17334643930441446,-0.060616434750885795,0.006301985744185048,0.11803104560363469,-0.008069494684928744,0.29933194348142655,0.25884970038512656,-0.031077432378465907
1,0.14734247521885105,0.5085352830667396,0.5504825351817794,0.06440804683987121,0.02610065734451586,-0.030402031755838235,0.2419508740628352,-0.12558907927059737,0.026017430035794365,0.15567492606209926,0.138902859109347,-0.03473060334315066
2,-0.0656566978504018,0.4834996844828442,0.400680246964035,0.36726977221885976,0.1650268104926842,0.18007279802431783,-0.06224664695597276,-0.2754361088901031,-0.015879132184677007,0.6076540030415465,0.6852166106410144,-0.03461935579049878
3,-0.051858483504804764,0.46340115543224586,0.329944799626868,0.21929837958322929,0.297830422460169,0.16430404047603192,-0.11495412241375966,-0.37627117594946985,-0.01387013820979906,0.5868850688934326,0.4892929052269977,-0.042756081009688585
4,0.11885228536821939,0.47220729327491123,0.4744073565050968,0.16770589666309785,-0.13737366457643183,-0.01867839339683796,-0.09422690289760458,-0.3119056042227252,0.023242319432620343,0.12328321641724686,0.07570446920066044,-0.035948473663165656
5,-0.04547490478199199,0.8307898791881281,-0.11546731663380727,-0.05625409832028067,0.674861414958072,0.015873366403964258,-0.10440755795586493,-0.3707381328075163,0.002623697877699329,-0.21158609401333717,-0.20882808703068764,-0.06977713546060746
6,0.08714064384886257,0.6708796093857883,0.45536151783138135,-0.03371313813986341,0.0839445670730609,-0.029413799534561812,0.21162064581361723,-0.12005999069487323,0.03838367869777064,0.2816962011022807,0.26499213349947365,-0.029439951565957835
7,0.02878326395579747,0.13185260355586859,0.873196838171098,1.3029083172719642,0.21023879528045655,0.025457479208707813,-0.06472253686189651,0.10677026510238649,-0.005916116297245027,0.022921322226524352,-0.01908532392978668,0.022219310030341145
8,-0.011719171784790268,0.40316178289392407,0.5830324910040506,0.08610932869007697,0.008296359022904874,-0.05308259900143084,-0.02155530214309692,0.16220968823307907,6.222109848193933e-05,0.18805238875556973,0.14131522320450915,-0.03379082632645239
9,0.20500475314329428,0.27988722128671656,0.44447833330142206,0.15023804126808785,-0.018368308983038907,-0.05738890089428247,-0.04323540637742228,-0.17457774998536751,-0.021945201299083766,0.1943820628123497,0.17616761554888824,-0.026233536147359595
10,0.1396311154211721,0.443625776054606,0.627125306900265,0.8049724475253909,0.026906316844365938,0.08097029684051389,-0.00339234068316798,-0.4029806664682204,-0.04863909223002773,0.6957410820376488,0.6201872944370392,-0.09198178706630585
11,-0.031227793258111345,0.5918377284647959,0.3667390718653043,0.1540111644675069,0.19367524753209034,0.12419208040424422,-0.10002945219067966,-0.3846693645505344,-0.01616363586397732,0.49735728463939594,0.4660230410145778,-0.043062876159069584
12,-0.07234477859830099,0.272151844957799,0.282431818981598,0.4234935443700054,-0.003948266437514823,0.002739909607687114,-0.03494831851676659,-0.3050511924131417,0.007695974155708597,0.5457587161123016,0.5115592582608447,-0.042211346199483045
13,0.13651805721578145,0.5030954737691271,0.1982529966328006,0.4246877195485624,0.2841480986442831,0.004693649727851152,-0.17356681512296201,-0.3962138341367245,-0.014521922076741856,0.021974213515718776,-0.04947080786526204,1.6128400801867249
14,-0.007959131026517222,0.4900440922550169,0.42037891893657287,-0.012118662656001613,-0.16326824711590276,-0.08169387278614976,-0.0992610365158174,-0.3594384377467923,0.01924291764584983,0.13179312197057214,0.08625815173358453,-0.03335146751345658
15,-0.07404249676725919,0.09899626641664025,0.16901679817385856,0.053598411918266003,-0.09998956967515556,-0.07640615860621135,-0.004510629101803428,0.16611715609567207,0.0033354984417296287,0.12075085942787037,0.08727157524175813,-0.03434312766058403
16,0.08023588051619354,0.6278841265654734,0.437514127959137,0.5452891784144817,0.106852653114884,0.08794638238571308,-0.051605410452242255,-0.34917897100801826,-0.004456173269836987,1.1182285166846382,0.8889168773933694,-0.06793329199155172
