leiden,sig_proliferation,sig_apoptosis_resistance,sig_angiogenesis,sig_invasion_metastasis,sig_EMT_mesenchymal,sig_EMT_epithelial,sig_stemness,sig_hypoxia,sig_DDR,sig_glycolysis
0,0.04595846138153318,0.09224802957634229,-0.09136294393829691,0.2107161723804004,0.3398342299215983,-0.09714934970889046,-0.05520541833098886,0.12178736099762281,-0.001543382216431069,0.4623473917806677
1,0.021390684115939716,0.1276045040328646,-0.10146244481799195,0.12198195107368451,0.14219367555837722,-0.08533374786749191,-0.03217298592374625,0.009320951910292516,0.016666877950242867,0.37611721265511433
2,-0.0314406174699794,0.1987628845298678,0.1803886463625506,0.5012861426470587,0.4956908149661607,-0.12276782716244772,0.0882886473349924,0.2858334909397654,-0.04224210911427174,0.7949111542541807
3,-0.0369060161518027,0.291315885576649,0.18788055657600022,0.40578306917818435,0.5044808806525254,-0.10612721706646076,0.08120026201009752,0.4124196658315866,-0.04575580710441059,0.9700804708055827
4,-0.0010533259954646275,0.08790809441215691,-0.05132818840055043,0.08808365241647353,0.11098933293960364,-0.10787177561030208,0.01721474602304656,-0.13458945886020005,0.03221758605356287,0.1827553271712928
5,0.04472974753371126,-0.06894418305068888,-0.04623620743905344,-0.15001722521221583,-0.15896207237360388,1.0379813135413714,0.11593823586099893,0.6818731480260048,0.0037792286792521106,1.3737928634151335
6,0.019294885591501006,0.11770713708363698,-0.10190734325771264,0.19728021119230538,0.281308035897525,-0.09165243808513901,-0.01813580514709582,0.06469749389583491,0.00013373490669027805,0.4085032356490371
7,0.017552585954118013,0.17300511759519577,0.07832986789090293,-0.009516077126775477,0.0766066380909511,-0.050732754923048476,-0.002475467125574749,0.13570048429071904,-0.03459308540182454,0.3583882992714643
8,0.009140864715610857,0.1001545980866631,-0.08471619628597034,0.12553966403581548,0.24834714662461052,-0.08997364667385939,-0.04751566518260894,-0.02021761086549652,0.029961860303957876,0.27733940197287427
9,0.006751649771135772,0.21205398840631418,-0.019485520968305022,0.13453456550264664,0.15968056587458673,-0.057298740985635845,0.0004359035601663318,-0.038795566065097924,0.010986657714379877,0.26906038016525663
10,-0.08835206218130258,0.12026921965486259,0.5541667469525667,0.35359614851287985,0.4755534844794032,-0.05616556714939815,0.07148273350090108,0.05693405037926089,-0.05791603007624226,0.5578076658710357
11,-0.0011624366660557515,0.12051904362946553,0.12460391613615661,0.464583959566111,0.3355613810057734,-0.1408755940638559,0.054935622873649094,0.24469715839507533,-0.02856347637851031,0.7869260562634935
12,-0.04109911020558365,0.14716520747039544,0.08259713703993135,0.3837509736224247,0.5542497483636967,-0.07861686680052016,0.013961192938525978,0.003417760862244499,-0.02422414473913334,0.3658980971206854
13,-0.07384456290904014,0.0454022381901741,0.022765876022832737,-0.025121070774538175,-0.04697040740356204,1.176518265794194,0.02343549961431159,0.3242221784591675,-0.031238756708446003,0.7587840341279904
14,-0.008922410797533677,0.09178244557923419,-0.08384101374390233,0.09423465800866848,0.1950601405939574,-0.11328194036162549,-0.046558004071072835,-0.1620885002685756,0.035882767493924196,0.051590607416339036
15,0.015367242523647118,0.22930460334521288,-0.07803474301981149,0.06771608141131867,0.3053277693565627,-0.07289500269973487,-0.061008219635277465,-0.07083877868819655,0.029697466114708655,0.09601709949342828
16,-0.05684688879655723,0.09309980009808952,0.07727437679099028,0.5780016990691896,0.7853062758748494,0.018591912749372885,0.10854785922132894,0.10091102591267338,-0.0322700823614837,0.6858219129067881
