ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Dendritic cell,Mast cell,0.1526,2.5294,0.386
TGFB1,TGFBR2,Plasma cell,Fibroblast,0.8928,0.4319,0.3856
TGFB1,TGFBR2,Unknown,Myeloid/Macro,1.4415,0.2636,0.3799
TGFB1,TGFBR2,Plasma cell,NK cell,0.8928,0.4224,0.3771
TGFB1,TGFBR2,NK cell,Mast cell,1.832,0.2045,0.3747
CXCL12,CXCR4,Fibroblast,Myeloid/Macro,0.2949,1.2666,0.3735
TGFB1,TGFBR2,NK cell,Plasma cell,1.832,0.2018,0.3698
TGFB1,TGFBR2,B cell,B cell,0.9361,0.3945,0.3692
TGFB1,TGFBR2,Fibroblast,Unknown,0.644,0.5723,0.3685
TGFB1,TGFBR2,Plasma cell,B cell,0.8928,0.3945,0.3522
SPP1,CD44,Plasma cell,Dendritic cell,0.2266,1.5537,0.3521
TGFB1,TGFBR2,Fibroblast,T cell,0.644,0.5297,0.3411
IL6,IL6R,Fibroblast,Myeloid/Macro,0.4306,0.7741,0.3333
TGFB1,TGFBR2,Tumor epithelial,Unknown,0.5803,0.5723,0.3321
SPP1,CD44,Plasma cell,B cell,0.2266,1.4617,0.3313
TGFB1,TGFBR2,Myeloid/Macro,Dendritic cell,1.1397,0.2876,0.3278
CXCL12,CXCR4,Fibroblast,Plasma cell,0.2949,1.1087,0.327
TGFB1,TGFBR2,Dendritic cell,Fibroblast,0.7559,0.4319,0.3265
TGFB1,TGFBR2,Dendritic cell,NK cell,0.7559,0.4224,0.3193
TNF,TNFRSF1A,Dendritic cell,Tumor epithelial,0.4806,0.6641,0.3192
CDH1,CDH1,Tumor epithelial,Tumor epithelial,0.5612,0.5612,0.3149
TGFB1,TGFBR2,Endothelial,Dendritic cell,1.0881,0.2876,0.3129
TGFB1,TGFBR2,Tumor epithelial,T cell,0.5803,0.5297,0.3073
CD80,CTLA4,Dendritic cell,T cell,0.5681,0.5408,0.3072
TGFB1,TGFBR2,T cell,Mast cell,1.4892,0.2045,0.3046
CCL5,CCR5,NK cell,T cell,3.395,0.0897,0.3045
TGFB1,TGFBR2,T cell,Plasma cell,1.4892,0.2018,0.3006
TGFB1,TGFBR2,Myeloid/Macro,Myeloid/Macro,1.1397,0.2636,0.3004
TGFB1,TGFBR2,Dendritic cell,B cell,0.7559,0.3945,0.2982
SPP1,CD44,Fibroblast,Myeloid/Macro,0.161,1.8373,0.2958
TGFB1,TGFBR2,Unknown,Mast cell,1.4415,0.2045,0.2948
SPP1,CD44,Fibroblast,Unknown,0.161,1.8285,0.2944
TGFB1,TGFBR2,Mast cell,Dendritic cell,1.0175,0.2876,0.2926
SPP1,CD44,Plasma cell,Fibroblast,0.2266,1.2843,0.2911
TGFB1,TGFBR2,Unknown,Plasma cell,1.4415,0.2018,0.291
TGFB1,TGFBR2,Endothelial,Myeloid/Macro,1.0881,0.2636,0.2868
SPP1,CD44,Fibroblast,T cell,0.161,1.7706,0.2851
