ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
VEGFA,FLT1,Mast cell,Myeloid/Macro,1.1046,0.1648,0.1821
TNF,TNFRSF1A,Unknown,Tumor epithelial,0.276,0.6576,0.1815
VEGFA,FLT1,Plasma cell,Endothelial,0.2005,0.9014,0.1808
SPP1,CD44,Mast cell,T cell,0.1024,1.7587,0.1801
IL6,IL6R,Endothelial,Myeloid/Macro,0.2326,0.7741,0.1801
TGFB1,TGFBR2,Dendritic cell,Myeloid/Macro,0.6772,0.2636,0.1785
SPP1,CD44,Mast cell,NK cell,0.1024,1.7429,0.1785
TGFB1,TGFBR2,B cell,Plasma cell,0.9306,0.191,0.1778
TGFB1,TGFBR2,Tumor epithelial,Dendritic cell,0.5814,0.3056,0.1777
SPP1,CD44,Dendritic cell,Plasma cell,0.1621,1.0933,0.1773
SPP1,CD44,Fibroblast,Plasma cell,0.161,1.0933,0.176
SPP1,CD44,Unknown,Unknown,0.0947,1.8479,0.175
SPP1,CD44,Unknown,Myeloid/Macro,0.0947,1.8373,0.174
TNF,TNFRSF1A,T cell,Fibroblast,0.341,0.5097,0.1738
TGFB1,TGFBR2,Plasma cell,Plasma cell,0.9078,0.191,0.1734
IL6,IL6R,Fibroblast,Mast cell,0.4306,0.4018,0.173
SPP1,CD44,Endothelial,Unknown,0.0909,1.8479,0.168
SPP1,CD44,Endothelial,Myeloid/Macro,0.0909,1.8373,0.1671
SPP1,CD44,Unknown,T cell,0.0947,1.7587,0.1666
CCL5,CCR5,T cell,NK cell,2.0187,0.0824,0.1664
SPP1,CD44,Unknown,NK cell,0.0947,1.7429,0.1651
SPP1,CD44,Plasma cell,Endothelial,0.2337,0.7001,0.1636
TNF,TNFRSF1A,Unknown,Myeloid/Macro,0.276,0.5912,0.1632
CD80,CTLA4,Dendritic cell,Unknown,0.6036,0.2687,0.1622
SPP1,CD44,Endothelial,T cell,0.0909,1.7587,0.1599
TGFB1,TGFBR2,Fibroblast,Myeloid/Macro,0.6044,0.2636,0.1593
SPP1,CD44,Endothelial,NK cell,0.0909,1.7429,0.1585
CCL5,CCR5,T cell,Myeloid/Macro,2.0187,0.0774,0.1562
TGFB1,TGFBR2,T cell,Tumor epithelial,1.487,0.1047,0.1557
TNF,TNFRSF1A,B cell,Endothelial,0.3905,0.3939,0.1538
TGFB1,TGFBR2,Tumor epithelial,Myeloid/Macro,0.5814,0.2636,0.1533
SPP1,CD44,Mast cell,Dendritic cell,0.1024,1.4728,0.1508
TGFB1,TGFBR2,Unknown,Tumor epithelial,1.4363,0.1047,0.1504
SPP1,CD44,Mast cell,B cell,0.1024,1.4571,0.1492
TGFB1,TGFBR2,Dendritic cell,Mast cell,0.6772,0.2204,0.1492
CD80,CTLA4,Dendritic cell,NK cell,0.6036,0.2459,0.1484
VEGFA,FLT1,Endothelial,Endothelial,0.1629,0.9014,0.1468
TNF,TNFRSF1A,NK cell,Endothelial,0.3667,0.3939,0.1444
SPP1,CD44,Plasma cell,Tumor epithelial,0.2337,0.6114,0.1429
TNF,TNFRSF1A,Unknown,Fibroblast,0.276,0.5097,0.1407
SPP1,CD44,NK cell,Unknown,0.0755,1.8479,0.1396
SPP1,CD44,Unknown,Dendritic cell,0.0947,1.4728,0.1395
SPP1,CD44,Tumor epithelial,Unknown,0.0751,1.8479,0.1388
SPP1,CD44,NK cell,Myeloid/Macro,0.0755,1.8373,0.1388
SPP1,CD44,Mast cell,Fibroblast,0.1024,1.3545,0.1387
SPP1,CD44,Unknown,B cell,0.0947,1.4571,0.138
SPP1,CD44,Tumor epithelial,Myeloid/Macro,0.0751,1.8373,0.138
TNF,TNFRSF1A,T cell,Endothelial,0.341,0.3939,0.1343
SPP1,CD44,Endothelial,Dendritic cell,0.0909,1.4728,0.1339
VEGFA,KDR,Myeloid/Macro,Endothelial,0.7644,0.1746,0.1335
TGFB1,TGFBR2,Fibroblast,Mast cell,0.6044,0.2204,0.1332
SPP1,CD44,NK cell,T cell,0.0755,1.7587,0.1328
SPP1,CD44,Endothelial,B cell,0.0909,1.4571,0.1325
SPP1,CD44,Tumor epithelial,T cell,0.0751,1.7587,0.1321
SPP1,CD44,NK cell,NK cell,0.0755,1.7429,0.1316
CXCL12,CXCR4,Fibroblast,Mast cell,0.2949,0.4447,0.1311
SPP1,CD44,Tumor epithelial,NK cell,0.0751,1.7429,0.131
CXCL12,CXCR4,Endothelial,T cell,0.0582,2.2242,0.1295
TGFB1,TGFBR2,Dendritic cell,Plasma cell,0.6772,0.191,0.1294
SPP1,CD44,Unknown,Fibroblast,0.0947,1.3545,0.1283
TGFB1,TGFBR2,Tumor epithelial,Mast cell,0.5814,0.2204,0.1281
CXCL12,CXCR4,Endothelial,B cell,0.0582,2.1976,0.128
CD274,PDCD1,Mast cell,T cell,0.2372,0.5391,0.1279
VEGFA,FLT1,Myeloid/Macro,Myeloid/Macro,0.7644,0.1648,0.126
SPP1,CD44,T cell,Mast cell,0.0492,2.5404,0.1249
SPP1,CD44,Endothelial,Fibroblast,0.0909,1.3545,0.1232
CXCL12,CXCR4,Endothelial,NK cell,0.0582,2.0671,0.1204
TGFB1,TGFBR2,Myeloid/Macro,Tumor epithelial,1.1397,0.1047,0.1193
FAS,FASLG,Unknown,NK cell,0.5031,0.233,0.1172
TGFB1,TGFBR2,Endothelial,Tumor epithelial,1.1134,0.1047,0.1166
TGFB1,TGFBR2,Fibroblast,Plasma cell,0.6044,0.191,0.1155
CXCL12,CXCR4,Endothelial,Unknown,0.0582,1.9708,0.1148
SPP1,CD44,Dendritic cell,Endothelial,0.1621,0.7001,0.1135
SPP1,CD44,Fibroblast,Endothelial,0.161,0.7001,0.1127
SPP1,CD44,Mast cell,Plasma cell,0.1024,1.0933,0.112
SPP1,CD44,NK cell,Dendritic cell,0.0755,1.4728,0.1112
TGFB1,TGFBR2,Tumor epithelial,Plasma cell,0.5814,0.191,0.1111
SPP1,CD44,Tumor epithelial,Dendritic cell,0.0751,1.4728,0.1107
SPP1,CD44,NK cell,B cell,0.0755,1.4571,0.1101
SPP1,CD44,Tumor epithelial,B cell,0.0751,1.4571,0.1095
TNF,TNFRSF1A,Unknown,Endothelial,0.276,0.3939,0.1087
TGFB1,TGFBR2,Mast cell,Tumor epithelial,1.0125,0.1047,0.106
SPP1,CD44,Unknown,Plasma cell,0.0947,1.0933,0.1036
FAS,FASLG,T cell,NK cell,0.4437,0.233,0.1034
CD80,CTLA4,B cell,T cell,0.1857,0.552,0.1025
SPP1,CD44,NK cell,Fibroblast,0.0755,1.3545,0.1023
SPP1,CD44,Tumor epithelial,Fibroblast,0.0751,1.3545,0.1018
VEGFA,KDR,Fibroblast,Endothelial,0.579,0.1746,0.1011
TNF,TNFRSF1A,Myeloid/Macro,Tumor epithelial,0.1517,0.6576,0.0998
SPP1,CD44,Endothelial,Plasma cell,0.0909,1.0933,0.0994
SPP1,CD44,Dendritic cell,Tumor epithelial,0.1621,0.6114,0.0991
SPP1,CD44,Fibroblast,Tumor epithelial,0.161,0.6114,0.0984
CD80,CTLA4,Dendritic cell,Endothelial,0.6036,0.162,0.0978
TGFB1,TGFBR2,B cell,Tumor epithelial,0.9306,0.1047,0.0974
VEGFA,FLT1,Fibroblast,Myeloid/Macro,0.579,0.1648,0.0954
TGFB1,TGFBR2,Plasma cell,Tumor epithelial,0.9078,0.1047,0.095
IL6,IL6R,Endothelial,Mast cell,0.2326,0.4018,0.0935
VEGFA,FLT1,Mast cell,Dendritic cell,1.1046,0.0845,0.0933
VEGFA,FLT1,Dendritic cell,Endothelial,0.1007,0.9014,0.0908
SPP1,CD44,T cell,Unknown,0.0492,1.8479,0.0908
SPP1,CD44,T cell,Myeloid/Macro,0.0492,1.8373,0.0903
CCL5,CCR5,Endothelial,T cell,0.994,0.0903,0.0898
TNF,TNFRSF1A,Myeloid/Macro,Myeloid/Macro,0.1517,0.5912,0.0897
SPP1,CD44,T cell,T cell,0.0492,1.7587,0.0864
TNF,TNFRSF1A,Fibroblast,Tumor epithelial,0.1308,0.6576,0.086
SPP1,CD44,T cell,NK cell,0.0492,1.7429,0.0857
CXCL10,CXCR3,Endothelial,NK cell,0.2389,0.3515,0.084
SPP1,CD44,NK cell,Plasma cell,0.0755,1.0933,0.0826
PDGFA,PDGFRA,Fibroblast,Fibroblast,0.339,0.2436,0.0826
SPP1,CD44,Tumor epithelial,Plasma cell,0.0751,1.0933,0.0821
CCL5,CCR5,Endothelial,NK cell,0.994,0.0824,0.0819
CXCL12,CXCR4,Endothelial,Dendritic cell,0.0582,1.3883,0.0809
VEGFA,KDR,Tumor epithelial,Endothelial,0.4454,0.1746,0.0778
TNF,TNFRSF1A,Mast cell,Tumor epithelial,0.118,0.6576,0.0776
TNF,TNFRSF1A,Fibroblast,Myeloid/Macro,0.1308,0.5912,0.0773
TNF,TNFRSF1A,Myeloid/Macro,Fibroblast,0.1517,0.5097,0.0773
IL6,IL6R,Fibroblast,Plasma cell,0.4306,0.1794,0.0772
CCL5,CCR5,Endothelial,Myeloid/Macro,0.994,0.0774,0.0769
CXCL10,CXCR3,Endothelial,T cell,0.2389,0.3155,0.0754
CD80,CTLA4,Dendritic cell,Plasma cell,0.6036,0.1242,0.075
CXCL12,CXCR4,Endothelial,Myeloid/Macro,0.0582,1.2666,0.0738
VEGFA,FLT1,Tumor epithelial,Myeloid/Macro,0.4454,0.1648,0.0734
CD274,PDCD1,Mast cell,NK cell,0.2372,0.3091,0.0733
CCL5,CCR5,Unknown,T cell,0.8046,0.0903,0.0727
SPP1,CD44,T cell,Dendritic cell,0.0492,1.4728,0.0724
SPP1,CD44,Mast cell,Endothelial,0.1024,0.7001,0.0717
SPP1,CD44,T cell,B cell,0.0492,1.4571,0.0716
