leiden,sig_proliferation,sig_apoptosis_resistance,sig_angiogenesis,sig_invasion_metastasis,sig_EMT_mesenchymal,sig_EMT_epithelial,sig_stemness,sig_hypoxia,sig_DDR,sig_glycolysis
0,0.046690724810172855,0.0634812529971648,-0.09080729050373249,0.21465745188270133,0.34613415829410543,-0.0963125173412632,-0.055727728641263526,0.12232770866529953,-0.004835616303280027,0.5464335390873927
1,0.014997055654643774,0.0858802856100751,-0.09002676420640879,0.135254287181831,0.20496426657465275,-0.08934756146006191,-0.04019083578290978,-0.017792964950203896,0.02494509444393555,0.34591095328163957
2,-0.03227637080209684,0.17976715439288396,0.16505482289258275,0.4979948104681242,0.4858652798950194,-0.12379263501243735,0.0896385549062943,0.26125877646723206,-0.035349866145697476,0.8104405838890736
3,-0.01788093022014665,0.19446527988683893,0.16495264157700323,0.4262794381898382,0.4540889091664775,-0.117179956101421,0.07251341741586077,0.35888082585904907,-0.032714708686823614,0.9997227988747792
4,-0.00652720525329879,0.06486899262442637,-0.049711609997119655,0.0537253644751766,0.07883734648292129,-0.10710011311223813,0.02140825569808662,-0.16553486008364873,0.038387888147947566,0.17580393007583967
5,0.04472974753371126,-0.08898842676591805,-0.032889771662338564,-0.15149210780392044,-0.15896207237360388,1.0379813135413714,0.11593823586099893,0.6818731480260048,0.00923122600551849,1.4361361349782635
6,0.020115325303950007,0.08396625111485462,-0.11076121286749528,0.18266453564876603,0.26817872660766756,-0.09099067418032852,-0.02045864097222134,0.06565980632065072,-0.001177945231338815,0.4658364197025003
7,0.02553261692414417,0.1529838695857146,0.11084590469297,-0.009542888329953567,0.07112766346152948,-0.05738246713365828,-0.013826435066404798,0.14577894466263905,-0.028515657600091428,0.48957754736080833
8,0.0016053610381169543,0.14580750280834107,-0.09234065544541821,0.06946518280165537,0.2896152514253344,-0.07903082177525475,-0.0558406493028005,-0.04217572421431541,0.020154278473343168,0.23029294679411735
9,0.006751649771135772,0.1828283502582465,-0.01697531206131756,0.1361740059944104,0.15968056587458673,-0.057298740985635845,0.0004359035601663318,-0.038795566065097924,0.004154144682959198,0.30959116363218064
10,-0.07368586077805904,0.07892623152895956,0.31993701342018843,0.45620871387679,0.6197487494393523,-0.021364671334453016,0.08873718857765198,0.0774060907137805,-0.048944957820065506,0.6497894809433743
11,-0.04094515716763655,0.1274401107991824,0.08887276350431317,0.3845446660377423,0.5524135813646616,-0.0783716349582362,0.013077424052284983,0.009363944479605044,-0.024371303269568222,0.35474446663336084
12,-0.0781541298188673,0.030753375047049565,0.020632384596005852,-0.030820640521208927,-0.057422678609658884,1.2033603820974703,0.025153899848038428,0.32337821356793667,-0.04753284479347043,0.7476061723026286
13,-0.009328315232228898,0.07869534828710155,-0.0866608817218757,0.09978616307267045,0.1935225527329481,-0.11270586457776964,-0.04590300524656752,-0.15791375188041576,0.03470246658633391,0.1313245023243696
