group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,CCL5,30.24457,5.0237823,6.149827862208328e-201,1.3525316417354777e-196,0.9753694581280788,0.2526636225266362
0,CD8A,29.951986,4.3165793,4.145487894109567e-197,4.558585762757586e-193,0.7807881773399015,0.11770674784373414
0,GZMB,25.992334,4.216318,6.045958400746044e-149,4.432292103586925e-145,0.6896551724137931,0.1248097412480974
0,GZMA,24.284529,3.6195066,2.856440862795144e-130,1.57054259738634e-126,0.6625615763546798,0.13039066463723997
0,GZMH,24.041534,3.6515083,1.0236022672886634e-127,4.502416932895915e-124,0.6059113300492611,0.10096397767630644
1,HSPA1A,15.242409,4.4859447,1.8492575478241263e-52,4.067072124929601e-48,0.9918032786885246,0.6181818181818182
1,DNAJB1,14.6571455,3.6301856,1.2126534258337906e-48,1.333494339718128e-44,1.0,0.6993348115299335
1,CD40LG,14.18415,4.3324065,1.1484989484277396e-45,7.098513447283526e-42,0.23770491803278687,0.017738359201773836
1,HSPA1B,14.175939,3.8200054,1.2910495971051745e-45,7.098513447283526e-42,0.9754098360655737,0.4762749445676275
1,HSPA8,13.604668,2.571247,3.756715160801696e-42,1.6524287306302339e-38,0.9836065573770492,0.8155210643015521
10,CDH5,43.762753,13.532373,0.0,0.0,0.8387096774193549,0.00042625745950554135
10,CLDN5,38.029266,10.485578,0.0,0.0,0.8064516129032258,0.0034100596760443308
10,RAMP3,35.964066,10.458985,3.051140618445892e-283,2.2367911873826834e-279,0.6774193548387096,0.002131287297527707
10,CD34,35.630905,9.9039545,4.656024943228494e-278,2.559998914410607e-274,0.6451612903225806,0.0017050298380221654
10,ROBO4,34.970226,12.826755,6.381403411528062e-268,2.8069241045947334e-264,0.5483870967741935,0.00042625745950554135
11,CD1E,28.21706,9.49224,3.611764580716889e-175,7.943353842370654e-171,0.39215686274509803,0.0012897678417884782
11,CD1A,23.65183,10.203882,1.1302119200785563e-123,1.2428375379143845e-119,0.27450980392156865,0.0008598452278589854
11,IL22RA2,19.212688,8.876225,2.898579619133692e-82,2.1249487187869096e-78,0.17647058823529413,0.0004299226139294927
11,PKIB,17.697092,4.678426,4.4152791018078626e-70,2.4276308321515083e-66,0.6666666666666666,0.0528804815133276
11,ENSG00000232628,16.841223,6.3294516,1.2169644763660262e-63,5.352939945743603e-60,0.21568627450980393,0.0034393809114359416
12,TPSD1,44.717564,12.608098,0.0,0.0,0.9012345679012346,0.0021777003484320556
12,CPA3,44.69685,12.568473,0.0,0.0,0.9753086419753086,0.005662020905923345
12,HDC,43.527966,10.917293,0.0,0.0,0.8888888888888888,0.003484320557491289
12,SLC18A2,40.48575,10.066458,0.0,0.0,0.8271604938271605,0.005662020905923345
12,HPGDS,40.262287,10.013917,0.0,0.0,0.8518518518518519,0.007404181184668989
13,AGR3,44.00995,13.036486,0.0,0.0,0.875,0.0012881064834693002
13,SMIM22,42.22526,10.581018,0.0,0.0,0.8125,0.0012881064834693002
13,PIGR,39.553074,9.574399,0.0,0.0,0.7708333333333334,0.0025762129669386004
13,C16orf89,38.67548,10.787445,0.0,0.0,0.7083333333333334,0.0017174753112924003
13,LTF,38.6227,11.1659155,0.0,0.0,0.8333333333333334,0.0055817947617003
14,MS4A1,32.494644,5.567742,1.2691615421621253e-231,2.7912669796771625e-227,0.848780487804878,0.06261510128913444
14,CD79A,31.821558,5.3505907,3.2582189708700787e-222,3.582900491317282e-218,0.8926829268292683,0.08425414364640885
14,EBF1,31.020565,5.5112853,2.846999799453861e-211,2.0871355529796256e-207,0.697560975609756,0.04005524861878453
14,BANK1,28.657274,4.779302,1.3011066289316625e-180,7.153809522523513e-177,0.7609756097560976,0.06813996316758748
14,TNFRSF13C,28.408333,5.0036674,1.5954569631649554e-177,7.0177769981773725e-174,0.6585365853658537,0.04696132596685083
15,MT-CO2,10.130326,1.6694573,4.052931278610141e-24,9.904013067830314e-21,1.0,0.9650862068965518
15,MT-CO1,10.105947,1.7742606,5.199128287828506e-24,1.1434442843421233e-20,1.0,0.9689655172413794
15,FYN,9.757388,3.1754222,1.7151533632225275e-22,1.9853351535448973e-19,0.8596491228070176,0.5008620689655172
15,MT-ND4L,9.269995,1.7186985,1.861553303168864e-20,1.7058809081913678e-17,0.9824561403508771,0.9469827586206897
15,MALAT1,9.189889,1.8497416,3.932454719481899e-20,3.2032028387246446e-17,1.0,0.9668103448275862
16,COL3A1,38.97753,12.132134,0.0,0.0,0.8148148148148148,0.002553191489361702
16,THY1,37.675606,11.696029,1.2463178476029e-310,1.3705134211165056e-306,0.6666666666666666,0.000851063829787234
16,BGN,36.20508,10.04322,5.065104606898583e-287,3.7132281873173515e-283,0.9259259259259259,0.00723404255319149
16,COL5A2,35.57935,11.380907,2.9232591134301334e-277,1.6072809420417231e-273,0.6296296296296297,0.001276595744680851
