leiden,cyt_score,tme_CYT,tme_TIS,tme_IFNg,tme_immunosuppression,tme_immune_estimate,tme_stromal_estimate
0,0.5189784,0.7853907955211142,0.45779871235750086,0.13607104044029678,0.09710154951281955,0.5870375539856921,0.07284117122875128
1,0.23504694,0.3523556447901377,0.25438698087620626,0.0412375606487437,-0.029166179599545684,0.330119857251085,0.0206432790202177
2,0.010866229,-0.35472977424415425,0.33026517995851606,0.21691391541226074,0.02991574543372811,-0.3985205429890156,0.16181337028534193
3,0.00943468,-0.3139767053334609,0.2676861310624198,0.18087829449254536,0.09762212431794319,-0.37749325710305803,0.11704691630126775
4,0.025336036,-0.2245227879446906,0.2354124573066065,0.13371180665385615,-0.14724034465381114,-0.021598324867560473,-0.025668086062919152
5,0.012222843,-0.27310277712537395,-0.07513046632731624,-0.14390189609989043,-0.03724020606959316,-0.3699819284360403,-0.14869760447430783
6,0.021848546,-0.18888044950862726,0.07141305544339728,-0.20535069630377822,-0.0474626997628053,0.06153915201522347,0.05529738613944731
7,0.0,-0.15491808942386084,0.11125321965701769,-0.028234998158046174,0.1229266195738852,-0.1879471342904227,-0.04393421892135862
8,0.56687975,0.6152246514558792,0.22567525272326786,0.05494946248531341,0.07748837673275691,0.42855179290257966,-0.00896724936167399
9,0.013471971,-0.09432694933307705,0.11221767410609747,-0.07945461913720886,-0.039923022657836836,-0.02269456642558189,0.04653403247766827
10,0.034539618,-0.2578880648777403,0.0781396057808683,-0.046184034861367323,-0.10743866166011316,-0.3461802666826021,0.9581273900914467
11,0.0,-0.30835401604815227,0.02813800548478218,-0.19407084139381967,0.08378687030876494,-0.36546441162191684,0.16918414447365737
12,0.0,-0.28340791392833625,0.050827849470249334,-0.022710162933836597,-0.08322059661512847,-0.3751565507074815,-0.07498192686490697
13,0.0,-0.27343375533027986,0.23292956137568457,0.10909041632593205,-0.10453948886362015,-0.04676830074590757,0.0058755999504640725
