leiden,TP53,MYC,STAT1,NFKB1,HIF1A,SOX2,FOXP3,TBX21,GATA3,TWIST1,SNAI1,NKX2-1
0,-0.1307372287450123,0.5673944936841829,0.5836914831578977,-0.04536924396377549,0.1740271294174563,-0.06138553226051699,0.007143078210849117,0.12367660330113582,-0.010231907222006056,0.33536461906387033,0.31036223142734476,-0.03275259489454509
1,-0.015624528500261206,0.31369967727987885,0.5467254494740349,0.08408927597168996,0.003350919955145053,-0.04372016446256056,0.06254145329318396,0.03680268217877644,0.007307008379843177,0.20840834776075876,0.18672323402253593,-0.036374387446700074
2,-0.07126521558595232,0.3740946284011908,0.4737024371247668,0.3764640283987189,0.14078337882218186,0.1811284596411505,-0.05636039851522288,-0.26884369269456015,-0.0001666191163236155,0.6003557711025276,0.7359496048212838,-0.03410967759566732
3,-0.053981557638008396,0.4382251736342783,0.4033367937773923,0.238960477796544,0.267262810792612,0.15422844016843515,-0.11214664343452972,-0.37180491933356163,-0.009186139045202213,0.5634459119931511,0.5729008984306584,-0.04424011600406273
4,0.05545393901564747,0.3594108070993771,0.4649682489245068,0.10357875042918484,-0.16350428005596537,-0.03238197033469741,-0.09114380602793651,-0.2895323555319159,0.02197480038050059,0.09255420369500512,0.0714741687173242,-0.039833103955329
5,-0.11421406385536018,0.6555667814468641,-0.13225082600381066,-0.05625409832028067,0.674861414958072,0.015873366403964258,-0.10440755795586493,-0.3707381328075163,-0.015525209205381332,-0.20565788959380119,-0.2352328863628449,-0.05359726788151649
6,0.03718014357534666,0.5527747583476008,0.4517420664807277,-0.038639134049601766,0.08584520934632531,-0.029200103220840292,0.2305585818754302,-0.11958046423064338,0.03192325459420681,0.29392604984177484,0.27276667565438484,-0.02866792189785176
7,0.028330730885875476,0.03726450375148228,0.9087419707890821,1.466138100391548,0.22506677025840396,-0.0032760654176984434,-0.06021390295028687,0.12704621996198381,-0.020975832871028357,0.0007531247820173019,-0.005442828042166568,0.03449711339814322
8,-0.08955555331911359,0.17722528639066787,0.34981290718014735,0.07703995992620306,-0.040418375587463376,-0.07133364409208298,-0.046706745996475216,0.2374459618091583,0.006377007007598876,0.13898321164131164,0.11234991121292115,-0.03370661631822586
9,0.15269300663140792,0.17292576109676727,0.44180015170976294,0.15023804126808785,-0.018368308983038907,-0.05738890089428247,-0.04323540637742228,-0.17457774998536751,-0.02730346192352807,0.22235592547459387,0.21101026600510325,-0.029798118018392307
10,0.06745777423628445,0.45321912867682324,0.5509920921950084,0.6840854084565193,0.0641227147634002,0.08421778493914112,-0.02583635592049566,-0.3779350496160573,-0.020721338457074658,0.8659416653863315,0.7411369505915149,-0.07821752747585034
11,-0.13369431455376254,0.1735967766034063,0.28016886068006264,0.4246645217830911,6.935590650976862e-05,0.0020949156691388382,-0.03511311706682531,-0.30484359101551334,0.02493216431431654,0.5489029084182366,0.5306364138068222,-0.03509032285794979
12,0.08826010026902775,0.4399677751854198,0.20369286253841531,0.42577170390588936,0.28145919098076244,0.005443092933360567,-0.17461591848921268,-0.41309611122658907,-0.010281945152485625,-0.0073499513230425246,-0.020940985816590336,1.6423979536776847
13,-0.013214540853813838,0.3836061875015384,0.42735209749846387,0.0040968853839828245,-0.15795617938744988,-0.079167592644164,-0.10017450870349344,-0.3608968142334339,0.014563975404849093,0.15253619607570953,0.1428822113686958,-0.03365332551762066
