leiden,cyt_score,tme_CYT,tme_TIS,tme_IFNg,tme_immunosuppression,tme_immune_estimate,tme_stromal_estimate
0,0.5191657,0.7899632766622627,0.4593209600558318,0.13844140624177867,0.10219597808139497,0.5627542163004217,0.07062664531493487
1,0.0,-0.16076500509606031,0.07937517348992706,-0.16869905495252766,-0.07518071319543063,0.04332769370207875,0.006193657958225258
2,0.010038011,-0.3503504429993833,0.32019074165498096,0.20930135705122133,0.028165153088931468,-0.42124281279015213,0.1657510773623539
3,0.0,-0.3031991114564564,0.2102688549809615,0.136436899110027,0.13311510294484225,-0.3881682830775724,0.11773613542462316
4,0.019395173,-0.24354785159538533,0.25609548718059094,0.1502482780752511,-0.11020024061766201,-0.0800785275943167,-0.00690969272591602
5,0.012222843,-0.27310277712537395,-0.07513046632731624,-0.14390189609989043,-0.025808307857383896,-0.3300454208428525,-0.14869760447430783
6,0.017078772,-0.20040331383332557,0.06964409008337291,-0.20907663653828337,-0.02894830915337436,0.022408096190385914,0.06412403001010489
7,0.0,-0.13109657779335976,0.1092672059359263,-0.03158457368612289,0.1080767196745502,-0.188632125536122,-0.043955406265126326
8,0.5146637,0.7656988170441617,0.3449212788571272,0.16363096857785284,0.03032766668194799,0.5159130066369745,0.01821819226046279
9,0.013471971,-0.09432694933307705,0.11221767410609747,-0.07945461913720886,-0.030557222752147836,-0.03434799550714434,0.04653403247766827
10,0.051446028,-0.26220670700073245,0.16285141101477546,0.024617278114441903,-0.07785021480349866,-0.31687687729473385,0.39233497866592953
11,0.03403885,-0.3325488830313963,0.36732139754037724,0.26335379558451033,0.07238826380374791,-0.36054787197228694,0.08143666429197607
12,0.0,-0.3093747671150867,0.028754084082699163,-0.1972922044918861,0.08989790977150998,-0.36751944568332084,0.16834189239679867
13,0.0,-0.2688982803622882,0.06462013011490768,-0.018915387690067297,-0.07143846096741194,-0.34650370263517666,-0.06985746973849556
14,0.0,-0.27310025747810923,0.23325277855894627,0.10918466693599051,-0.10528625514213527,-0.05392896636348306,0.0027379428829927095
15,0.03458535,-0.05973972178342049,0.13210654875752612,-0.08863555151119568,0.06749997351750318,0.10087754597269584,0.0010521045646704685
16,0.015128551,-0.25292962392171225,-0.01912209652472877,-0.12747443124100014,-0.07988200843428254,-0.305468697178496,1.607740899505929
