ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
VEGFA,KDR,Myeloid/Macro,Endothelial,0.7707,0.1746,0.1346
SPP1,CD44,Unknown,B cell,0.092,1.4591,0.1342
SPP1,CD44,Tumor epithelial,T cell,0.0755,1.7718,0.1338
SPP1,CD44,Mast cell,Fibroblast,0.1035,1.2899,0.1335
SPP1,CD44,Endothelial,B cell,0.0909,1.4591,0.1327
SPP1,CD44,NK cell,NK cell,0.0763,1.7346,0.1323
SPP1,CD44,Tumor epithelial,NK cell,0.0755,1.7346,0.131
TNF,TNFRSF1A,T cell,Endothelial,0.33,0.3939,0.13
CD274,PDCD1,Mast cell,T cell,0.2397,0.5392,0.1293
TGFB1,TGFBR2,Fibroblast,Mast cell,0.6239,0.2068,0.129
TNF,TNFRSF1A,Fibroblast,Myeloid/Macro,0.2174,0.5927,0.1289
VEGFA,FLT1,Myeloid/Macro,Myeloid/Macro,0.7707,0.1655,0.1276
CD80,CTLA4,Dendritic cell,Unknown,0.4829,0.2608,0.1259
TGFB1,TGFBR2,Plasma cell,Plasma cell,0.8147,0.1542,0.1256
SPP1,CD44,T cell,Mast cell,0.0481,2.5419,0.1222
TGFB1,TGFBR2,Tumor epithelial,Mast cell,0.5774,0.2068,0.1194
SPP1,CD44,Unknown,Fibroblast,0.092,1.2899,0.1187
TGFB1,TGFBR2,Dendritic cell,Plasma cell,0.7692,0.1542,0.1186
SPP1,CD44,Endothelial,Fibroblast,0.0909,1.2899,0.1173
TNF,TNFRSF1A,Unknown,Endothelial,0.2929,0.3939,0.1154
SPP1,CD44,NK cell,Dendritic cell,0.0763,1.5081,0.115
SPP1,CD44,Tumor epithelial,Dendritic cell,0.0755,1.5081,0.1139
SPP1,CD44,Fibroblast,Endothelial,0.161,0.7001,0.1127
TGFB1,TGFBR2,Myeloid/Macro,Tumor epithelial,1.1382,0.0983,0.1119
SPP1,CD44,NK cell,B cell,0.0763,1.4591,0.1113
TNF,TNFRSF1A,Fibroblast,Fibroblast,0.2174,0.5097,0.1108
SPP1,CD44,Tumor epithelial,B cell,0.0755,1.4591,0.1102
TGFB1,TGFBR2,Endothelial,Tumor epithelial,1.1134,0.0983,0.1095
SPP1,CD44,Mast cell,Plasma cell,0.1035,1.003,0.1038
CD80,CTLA4,B cell,T cell,0.1885,0.5365,0.1011
VEGFA,KDR,Fibroblast,Endothelial,0.579,0.1746,0.1011
TNF,TNFRSF1A,Myeloid/Macro,Tumor epithelial,0.1523,0.6608,0.1007
TGFB1,TGFBR2,Mast cell,Tumor epithelial,1.0075,0.0983,0.0991
SPP1,CD44,NK cell,Fibroblast,0.0763,1.2899,0.0984
