leiden,cyt_score,tme_CYT,tme_TIS,tme_IFNg,tme_immunosuppression,tme_immune_estimate,tme_stromal_estimate
0,0.5191657,0.7689833739062248,0.4590562729865002,0.13899043715387083,0.10219597808139497,0.5794264017541555,0.07062664531493487
1,0.0,-0.1459560893793575,0.07934206450227202,-0.16747903137562814,-0.07518071319543063,0.07152286961537269,0.006193657958225258
2,0.010038011,-0.3245439163559094,0.3192531835658398,0.20317709923748778,0.028165153088931468,-0.4128350033871976,0.1657510773623539
3,0.0,-0.2897211710007294,0.20984061605442575,0.12862042425013814,0.13311510294484225,-0.3888336783170306,0.11773613542462316
4,0.019395173,-0.2584709791972719,0.25587195027367754,0.15142956868273807,-0.11020024061766201,-0.06743493395791765,-0.00690969272591602
5,0.012222843,-0.25512933107922153,-0.07652501469198707,-0.1408520769158315,-0.025808307857383896,-0.31918016643513214,-0.14869760447430783
6,0.017078772,-0.18464016843440284,0.069403501723138,-0.20800661964454456,-0.02894830915337436,0.05072007100347324,0.06412403001010489
7,0.0,-0.16682715266942977,0.1137754088197307,-0.03399498058216912,0.1080767196745502,-0.19901699779263463,-0.043955406265126326
8,0.5146637,0.7464918491724278,0.34452393535112713,0.16172749781104365,0.03032766668194799,0.5241782737284818,0.01821819226046279
9,0.013471971,-0.09044917394865805,0.11182001064227164,-0.07728172007203882,-0.030557222752147836,-0.0009014559848337237,0.04653403247766827
10,0.051446028,-0.2681237273062429,0.15714435296898865,0.017191577646801532,-0.07785021480349866,-0.3184769201624624,0.39233497866592953
11,0.03403885,-0.35031360899700836,0.36573313302359933,0.26192511712733263,0.07238826380374791,-0.3659688523739602,0.08143666429197607
12,0.0,-0.2893255583445231,0.02508117344816097,-0.1973570439546923,0.08989790977150998,-0.3376243539396946,0.16834189239679867
13,0.0,-0.26735730479160946,0.064975572217366,-0.004073781075085221,-0.07143846096741194,-0.3280551730023223,-0.06985746973849556
14,0.0,-0.2734565047519963,0.23370940191860512,0.1106189449655885,-0.10528625514213527,-0.040316855028709894,0.0027379428829927095
15,0.03458535,-0.02328170178229349,0.1312981569386708,-0.0917567823800469,0.06749997351750318,0.1067299084125354,0.0010521045646704685
16,0.015128551,-0.2360813757225319,-0.01925115312558559,-0.12930453928922483,-0.07988200843428254,-0.30210653660405123,1.607740899505929
