leiden,cyt_score,tme_CYT,tme_TIS,tme_IFNg,tme_immunosuppression,tme_immune_estimate,tme_stromal_estimate
0,0.5191657,0.7689833739062248,0.4593209600558318,0.13850004838017993,0.10049203579264337,0.5500242131259705,0.06875798961375017
1,0.0,-0.1459560893793575,0.07937517348992706,-0.16895671977371465,-0.07710937564008648,0.0356341942242912,0.015614869437148227
2,0.010038011,-0.3245439163559094,0.32019074165498096,0.20928101296831922,0.02751157234236909,-0.45812845550593656,0.16869111664815323
3,0.0,-0.2897211710007294,0.2102688549809615,0.1362330259317937,0.13438076676854227,-0.43406090228167316,0.12689707811040002
4,0.019395173,-0.2584709791972719,0.25609548718059094,0.1499777000197049,-0.11120658933942938,-0.10262521226200144,-0.009412952377421646
5,0.012222843,-0.25512933107922153,-0.07513046632731624,-0.14343030218155153,-0.01987889737182335,-0.39473657593464734,-0.15179556209906456
6,0.017078772,-0.18464016843440284,0.06964409008337291,-0.20897063533037794,-0.030830112325893628,0.025241703298959233,0.0697069809865021
7,0.0,-0.16682715266942977,0.1092672059359263,-0.031907266080379484,0.10739291367823617,-0.22465716996585508,-0.025930877708726457
8,0.5146637,0.7464918491724278,0.3449212788571272,0.16348757042866968,0.028328589051562325,0.48652581644288245,0.021655598297944625
9,0.013471971,-0.09044917394865805,0.11221767410609747,-0.07977131530420103,-0.030334055684603047,-0.03739021120302311,0.040158738651085844
10,0.051446028,-0.2681237273062429,0.16285141101477546,0.02677909904910672,-0.06408470361958224,-0.37583050807842183,0.3921560014106039
11,0.03403885,-0.35031360899700836,0.36732139754037724,0.26320550147224875,0.07320828817965781,-0.42392613700228665,0.08010991756952407
12,0.0,-0.2893255583445231,0.028754084082699163,-0.19695309686072077,0.09410587572066126,-0.40344203184169614,0.1743779529236635
13,0.0,-0.26735730479160946,0.06462013011490768,-0.019197651048501334,-0.0617538024786786,-0.3917572102186722,-0.09118924060008593
14,0.0,-0.2734565047519963,0.23325277855894627,0.10899963597553532,-0.10658791953267825,-0.052385581101900336,-0.0075346123364559685
15,0.03458535,-0.02328170178229349,0.13210654875752612,-0.08792821879972491,0.06499886598893005,0.07462737423740629,0.01193232037867719
16,0.015128551,-0.2360813757225319,-0.01912209652472877,-0.1274019640021854,-0.07855100025542432,-0.36385057515880553,1.616206805343
