leiden,sig_proliferation,sig_apoptosis_resistance,sig_angiogenesis,sig_invasion_metastasis,sig_EMT_mesenchymal,sig_EMT_epithelial,sig_stemness,sig_hypoxia,sig_DDR,sig_glycolysis
0,0.04595846138153318,0.09224802957634229,-0.09136294393829691,0.23075855295181721,0.3398342299215983,-0.09598213794336,-0.05690727188033228,0.1378450629071062,-0.004561208122259794,0.548117527667682
1,0.021390684115939716,0.1276045040328646,-0.10146244481799195,0.13139862563031673,0.14219367555837722,-0.08773255205266091,-0.037806760378874066,0.02102357824806307,0.015056300894019197,0.40671485217325454
2,-0.0314406174699794,0.1987628845298678,0.1803886463625506,0.5297025226689365,0.4956908149661607,-0.13169891938013345,0.09239281318657766,0.28790337306515473,-0.0374123111659927,0.8457649561679107
3,-0.0369060161518027,0.291315885576649,0.18788055657600022,0.42587659760550367,0.5044808806525254,-0.11373801456845324,0.08771261529214139,0.39427748227896897,-0.03457936992787797,1.056013337950409
4,-0.0010533259954646275,0.08790809441215691,-0.05132818840055043,0.08739563156079846,0.11098933293960364,-0.10544214493613721,0.014372954354889094,-0.10884403452379951,0.03150403495037497,0.23845644500541255
5,0.04472974753371126,-0.06894418305068888,-0.04623620743905344,-0.11212721637903454,-0.15896207237360388,1.0369824440658733,0.10037394147662707,0.6993498290277297,0.00923122600551849,1.4361361349782635
6,0.019294885591501006,0.11770713708363698,-0.10190734325771264,0.21898970638824336,0.281308035897525,-0.08994416510332442,-0.0203239163532052,0.07696721586702546,-0.0037453681117622776,0.45343604278128113
7,0.017552585954118013,0.17300511759519577,0.07832986789090293,0.006974741975108564,0.0766066380909511,-0.06736742680981046,-0.010444990297158561,0.12576934792101382,-0.022318079907979283,0.4751176553580797
8,0.009140864715610857,0.1001545980866631,-0.08471619628597034,0.13995804866909048,0.24834714662461052,-0.09014725746648376,-0.04928418930252542,-0.008118661847453886,0.02662270694476771,0.34044690336640987
9,0.006751649771135772,0.21205398840631418,-0.019485520968305022,0.14133555133472045,0.15968056587458673,-0.05759750089919898,-0.00868829711011393,-0.008478199479295246,0.004154144682959198,0.30959116363218064
10,-0.08835206218130258,0.12026921965486259,0.5541667469525667,0.35376581049443345,0.4755534844794032,-0.06790988895200914,0.07142094299357424,0.09498531689566951,-0.058182444490046,0.5913439135514164
11,-0.0011624366660557515,0.12051904362946553,0.12460391613615661,0.4749231952539853,0.3355613810057734,-0.12530928679652353,0.057776587496395984,0.256577302626535,-0.027897660293165042,0.8636897066178286
12,-0.04109911020558365,0.14716520747039544,0.08259713703993135,0.39879870114124766,0.5542497483636967,-0.07054187232084234,0.01991480117472111,0.006037345970118485,-0.024495289047664227,0.354638049423821
13,-0.07384456290904014,0.0454022381901741,0.022765876022832737,-0.02393734852112052,-0.04697040740356204,1.1970166574489502,0.030935596538086734,0.3364692972103755,-0.04797899179870174,0.7486895414677633
14,-0.008922410797533677,0.09178244557923419,-0.08384101374390233,0.10506559926411936,0.1950601405939574,-0.11250333210150953,-0.04552201617830168,-0.14447836605077838,0.03847224733908417,0.1212477069839112
15,0.015367242523647118,0.22930460334521288,-0.07803474301981149,0.07847441941048773,0.3053277693565627,-0.07313233632093284,-0.057518390995717185,-0.11420007676409001,0.028317787632308803,0.11907556299176301
16,-0.05684688879655723,0.09309980009808952,0.07727437679099028,0.604513918400512,0.7853062758748494,0.021149637331197294,0.12316493926224886,0.12260554975933499,-0.038338954606384194,0.7168936509119185
