ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,T cell,Dendritic cell,0.049,1.5537,0.0761
TNF,TNFRSF1A,Mast cell,Myeloid/Macro,0.1258,0.5912,0.0743
TGFB1,TGFBR2,Dendritic cell,Tumor epithelial,0.7559,0.0983,0.0743
CCL5,CCR5,Unknown,T cell,0.8229,0.0897,0.0738
VEGFA,FLT1,Tumor epithelial,Myeloid/Macro,0.4476,0.1648,0.0738
CXCL10,CXCR3,Endothelial,T cell,0.2335,0.3119,0.0728
SPP1,CD44,Unknown,Endothelial,0.1059,0.6842,0.0724
FAS,FASLG,Endothelial,NK cell,0.28,0.2576,0.0722
CXCL12,CXCR4,Endothelial,Myeloid/Macro,0.0569,1.2666,0.0721
FAS,FASLG,NK cell,NK cell,0.2796,0.2576,0.072
CCL5,CCR5,Plasma cell,Dendritic cell,0.606,0.1186,0.0719
SPP1,CD44,T cell,B cell,0.049,1.4617,0.0716
SPP1,CD44,Mast cell,Endothelial,0.1024,0.6842,0.0701
CD80,CTLA4,Myeloid/Macro,T cell,0.1289,0.5428,0.07
CD80,CTLA4,Dendritic cell,Plasma cell,0.5681,0.1184,0.0673
TNF,TNFRSF1A,Mast cell,Fibroblast,0.1258,0.5293,0.0666
FAS,FASLG,B cell,NK cell,0.2575,0.2576,0.0663
CD274,PDCD1,Mast cell,Unknown,0.2372,0.2781,0.066
CXCL12,CXCR4,Endothelial,Plasma cell,0.0569,1.1284,0.0642
CCL5,CCR5,Unknown,Myeloid/Macro,0.8229,0.0774,0.0637
SPP1,CD44,Unknown,Tumor epithelial,0.1059,0.6018,0.0637
SPP1,CD44,B cell,Mast cell,0.0246,2.5294,0.0623
HGF,MET,Fibroblast,Tumor epithelial,0.2072,0.3003,0.0622
FAS,FASLG,Plasma cell,NK cell,0.2401,0.2576,0.0619
SPP1,CD44,Mast cell,Tumor epithelial,0.1024,0.6018,0.0616
CD274,PDCD1,Endothelial,T cell,0.1159,0.5288,0.0613
SPP1,CD44,T cell,Fibroblast,0.049,1.2495,0.0612
CCL5,CCR5,Fibroblast,Dendritic cell,0.5149,0.1186,0.061
SPP1,CD44,Endothelial,Endothelial,0.0889,0.6842,0.0608
VEGFA,FLT1,Myeloid/Macro,Dendritic cell,0.7644,0.0795,0.0608
CCL5,CCR5,Unknown,NK cell,0.8229,0.0733,0.0603
TGFB1,TGFBR2,Fibroblast,Tumor epithelial,0.6014,0.0983,0.0591
TNF,TNFRSF1A,Plasma cell,Endothelial,0.1525,0.3849,0.0587
CCL5,CCR5,NK cell,Unknown,3.395,0.0173,0.0586
TNF,TNFRSF1A,Myeloid/Macro,Endothelial,0.1517,0.3849,0.0584
IL6,IL6R,Fibroblast,Endothelial,0.4471,0.1283,0.0574
TGFB1,TGFBR2,Tumor epithelial,Tumor epithelial,0.5774,0.0983,0.0568
CD80,CTLA4,B cell,Unknown,0.1868,0.2986,0.0558
SPP1,CD44,T cell,Plasma cell,0.049,1.1269,0.0552
TNF,TNFRSF1A,Dendritic cell,Unknown,0.4806,0.1138,0.0547
CCL5,CCR5,Plasma cell,T cell,0.606,0.0897,0.0544
SPP1,CD44,Endothelial,Tumor epithelial,0.0889,0.6018,0.0535
TNF,TNFRSF1A,Dendritic cell,NK cell,0.4806,0.1107,0.0532
CXCL12,CXCR4,Endothelial,Endothelial,0.0569,0.9334,0.0531
IL6,IL6R,Fibroblast,Dendritic cell,0.4471,0.118,0.0528
SPP1,CD44,Tumor epithelial,Endothelial,0.0755,0.6842,0.0517
SPP1,CD44,NK cell,Endothelial,0.0752,0.6842,0.0514
FAS,FASLG,Fibroblast,NK cell,0.1933,0.2576,0.0498
TNF,TNFRSF1A,Mast cell,Endothelial,0.1258,0.3849,0.0484
TNF,TNFRSF1A,Dendritic cell,Dendritic cell,0.4806,0.1002,0.0482
FAS,FASLG,Unknown,T cell,0.4938,0.0972,0.048
VEGFA,FLT1,Fibroblast,Dendritic cell,0.6013,0.0795,0.0478
VEGFA,FLT1,Mast cell,Unknown,1.1046,0.0432,0.0477
CD80,CTLA4,B cell,NK cell,0.1868,0.2552,0.0477
CCL2,CCR2,Endothelial,Plasma cell,1.253,0.038,0.0476
CCL5,CCR5,Plasma cell,Myeloid/Macro,0.606,0.0774,0.0469
CCL5,CCR5,NK cell,B cell,3.395,0.0137,0.0466
CCL5,CCR5,Fibroblast,T cell,0.5149,0.0897,0.0462
SPP1,CD44,B cell,Unknown,0.0246,1.8643,0.0459
