ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Myeloid/Macro,Mast cell,1.4071,2.5294,3.5591
SPP1,CD44,Myeloid/Macro,Myeloid/Macro,1.4071,1.8373,2.5853
SPP1,CD44,Myeloid/Macro,Unknown,1.4071,1.835,2.582
SPP1,CD44,Myeloid/Macro,NK cell,1.4071,1.773,2.4947
SPP1,CD44,Myeloid/Macro,T cell,1.4071,1.7601,2.4767
SPP1,CD44,Myeloid/Macro,Dendritic cell,1.4071,1.4735,2.0734
SPP1,CD44,Myeloid/Macro,B cell,1.4071,1.4659,2.0627
TGFB1,TGFBR2,NK cell,Endothelial,1.8745,1.0714,2.0083
SPP1,CD44,Myeloid/Macro,Fibroblast,1.4071,1.2495,1.7582
TGFB1,TGFBR2,T cell,Endothelial,1.4673,1.0714,1.5721
SPP1,CD44,Myeloid/Macro,Plasma cell,1.4071,1.1145,1.5682
TGFB1,TGFBR2,Unknown,Endothelial,1.4225,1.0714,1.524
TGFB1,TGFBR2,Myeloid/Macro,Endothelial,1.1397,1.0714,1.2211
TGFB1,TGFBR2,Endothelial,Endothelial,1.0405,1.0714,1.1148
TGFB1,TGFBR2,Mast cell,Endothelial,1.0175,1.0714,1.0901
TGFB1,TGFBR2,NK cell,Unknown,1.8745,0.5449,1.0214
TGFB1,TGFBR2,B cell,Endothelial,0.9379,1.0714,1.0048
VEGFA,FLT1,Mast cell,Endothelial,1.1046,0.9014,0.9956
TGFB1,TGFBR2,NK cell,T cell,1.8745,0.5276,0.989
TGFB1,TGFBR2,Plasma cell,Endothelial,0.8666,1.0714,0.9285
SPP1,CD44,Myeloid/Macro,Endothelial,1.4071,0.6208,0.8735
TGFB1,TGFBR2,NK cell,NK cell,1.8745,0.4534,0.85
SPP1,CD44,Myeloid/Macro,Tumor epithelial,1.4071,0.6018,0.8468
TGFB1,TGFBR2,NK cell,Fibroblast,1.8745,0.4485,0.8408
TGFB1,TGFBR2,T cell,Unknown,1.4673,0.5449,0.7995
TGFB1,TGFBR2,Dendritic cell,Endothelial,0.7453,1.0714,0.7985
TGFB1,TGFBR2,Unknown,Unknown,1.4225,0.5449,0.7751
TGFB1,TGFBR2,T cell,T cell,1.4673,0.5276,0.7742
TGFB1,TGFBR2,Unknown,T cell,1.4225,0.5276,0.7505
TGFB1,TGFBR2,NK cell,B cell,1.8745,0.3969,0.7441
VEGFA,FLT1,Myeloid/Macro,Endothelial,0.7644,0.9014,0.689
CXCL12,CXCR4,Fibroblast,T cell,0.3063,2.214,0.6781
CXCL12,CXCR4,Fibroblast,B cell,0.3063,2.1827,0.6685
TGFB1,TGFBR2,T cell,NK cell,1.4673,0.4534,0.6654
CXCL12,CXCR4,Fibroblast,NK cell,0.3063,2.1632,0.6625
TGFB1,TGFBR2,T cell,Fibroblast,1.4673,0.4485,0.6582
TGFB1,TGFBR2,Unknown,NK cell,1.4225,0.4534,0.645
TGFB1,TGFBR2,Fibroblast,Endothelial,0.6014,1.0714,0.6444
TGFB1,TGFBR2,Unknown,Fibroblast,1.4225,0.4485,0.6381
TGFB1,TGFBR2,Myeloid/Macro,Unknown,1.1397,0.5449,0.621
TGFB1,TGFBR2,Tumor epithelial,Endothelial,0.5774,1.0714,0.6186
TGFB1,TGFBR2,Myeloid/Macro,T cell,1.1397,0.5276,0.6014
TGFB1,TGFBR2,T cell,B cell,1.4673,0.3969,0.5825
SPP1,CD44,Plasma cell,Mast cell,0.2289,2.5294,0.5791
CXCL12,CXCR4,Fibroblast,Unknown,0.3063,1.8535,0.5677
TGFB1,TGFBR2,Endothelial,Unknown,1.0405,0.5449,0.567
TGFB1,TGFBR2,Unknown,B cell,1.4225,0.3969,0.5647
TGFB1,TGFBR2,Mast cell,Unknown,1.0175,0.5449,0.5544
TGFB1,TGFBR2,Endothelial,T cell,1.0405,0.5276,0.549
VEGFA,FLT1,Fibroblast,Endothelial,0.6013,0.9014,0.542
TGFB1,TGFBR2,Mast cell,T cell,1.0175,0.5276,0.5368
TGFB1,TGFBR2,Myeloid/Macro,NK cell,1.1397,0.4534,0.5168
TGFB1,TGFBR2,Myeloid/Macro,Fibroblast,1.1397,0.4485,0.5112
TGFB1,TGFBR2,B cell,Unknown,0.9379,0.5449,0.511
CXCL12,CXCR4,Fibroblast,Dendritic cell,0.3063,1.6345,0.5006
TGFB1,TGFBR2,B cell,T cell,0.9379,0.5276,0.4948
TGFB1,TGFBR2,NK cell,Myeloid/Macro,1.8745,0.2636,0.4941
TGFB1,TGFBR2,NK cell,Dendritic cell,1.8745,0.2573,0.4824
TGFB1,TGFBR2,Plasma cell,Unknown,0.8666,0.5449,0.4722
TGFB1,TGFBR2,Endothelial,NK cell,1.0405,0.4534,0.4718
TGFB1,TGFBR2,Endothelial,Fibroblast,1.0405,0.4485,0.4667
TGFB1,TGFBR2,Mast cell,NK cell,1.0175,0.4534,0.4614
TGFB1,TGFBR2,Plasma cell,T cell,0.8666,0.5276,0.4572
TGFB1,TGFBR2,Mast cell,Fibroblast,1.0175,0.4485,0.4564
TGFB1,TGFBR2,Myeloid/Macro,B cell,1.1397,0.3969,0.4524
TGFB1,TGFBR2,B cell,NK cell,0.9379,0.4534,0.4253
SPP1,CD44,Fibroblast,Mast cell,0.1672,2.5294,0.4229
TGFB1,TGFBR2,B cell,Fibroblast,0.9379,0.4485,0.4207
SPP1,CD44,Plasma cell,Myeloid/Macro,0.2289,1.8373,0.4207
SPP1,CD44,Plasma cell,Unknown,0.2289,1.835,0.4201
TGFB1,TGFBR2,Endothelial,B cell,1.0405,0.3969,0.413
TGFB1,TGFBR2,Dendritic cell,Unknown,0.7453,0.5449,0.4061
SPP1,CD44,Plasma cell,NK cell,0.2289,1.773,0.4059
TGFB1,TGFBR2,Mast cell,B cell,1.0175,0.3969,0.4039
VEGFA,FLT1,Tumor epithelial,Endothelial,0.4476,0.9014,0.4035
SPP1,CD44,Plasma cell,T cell,0.2289,1.7601,0.403
TGFB1,TGFBR2,Dendritic cell,T cell,0.7453,0.5276,0.3932
TGFB1,TGFBR2,Plasma cell,NK cell,0.8666,0.4534,0.393
TGFB1,TGFBR2,Plasma cell,Fibroblast,0.8666,0.4485,0.3887
CXCL12,CXCR4,Fibroblast,Myeloid/Macro,0.3063,1.2666,0.3879
TGFB1,TGFBR2,T cell,Myeloid/Macro,1.4673,0.2636,0.3868
TGFB1,TGFBR2,NK cell,Mast cell,1.8745,0.2045,0.3834
TGFB1,TGFBR2,NK cell,Plasma cell,1.8745,0.2039,0.3822
TGFB1,TGFBR2,T cell,Dendritic cell,1.4673,0.2573,0.3776
TGFB1,TGFBR2,Unknown,Myeloid/Macro,1.4225,0.2636,0.3749
TGFB1,TGFBR2,B cell,B cell,0.9379,0.3969,0.3723
TGFB1,TGFBR2,Unknown,Dendritic cell,1.4225,0.2573,0.366
CCL5,CCR5,NK cell,Dendritic cell,3.4201,0.1061,0.3628
IL6,IL6R,Fibroblast,Myeloid/Macro,0.4471,0.7741,0.3461
SPP1,CD44,Dendritic cell,Mast cell,0.1365,2.5294,0.3454
TGFB1,TGFBR2,Plasma cell,B cell,0.8666,0.3969,0.344
TGFB1,TGFBR2,Dendritic cell,NK cell,0.7453,0.4534,0.3379
SPP1,CD44,Plasma cell,Dendritic cell,0.2289,1.4735,0.3374
SPP1,CD44,Plasma cell,B cell,0.2289,1.4659,0.3356
TGFB1,TGFBR2,Dendritic cell,Fibroblast,0.7453,0.4485,0.3343
